dataset,n_samples,n_features,param_family_mode,tau_mult,min_region_size,family_dbscan_eps,pair,balacc,precision,recall,f1,winning_planes,candidates_pair,candidates_global,regions_global
corner_small,1120,4,dbscan,0.75,35,0.3,0-1,0.9440476190476152,0.9264705882352942,0.9,0.9130434782608695,6,124,124,124
corner_small,1120,4,dbscan,0.75,35,0.3,0-2,0.9999999999999929,1.0,1.0,1.0,6,124,124,124
corner_small,1120,4,dbscan,0.75,35,0.3,1-2,0.7499999999999961,1.0,0.5,0.6666666666666666,1,124,124,124
corner_large,2080,4,greedy,0.5,20,,0-1,0.9423076923076903,0.9069767441860465,0.9,0.9034749034749034,6,132,132,132
corner_large,2080,4,greedy,0.5,20,,0-2,0.9865384615384577,0.9884169884169884,0.9846153846153847,0.9865125240847784,6,132,132,132
corner_large,2080,4,greedy,0.5,20,,1-2,0.7499999999999979,1.0,0.5,0.6666666666666666,1,132,132,132
corner_large,2080,4,greedy,0.75,35,,0-1,0.9423076923076903,0.9069767441860465,0.9,0.9034749034749034,6,130,130,130
corner_large,2080,4,greedy,0.75,35,,0-2,0.9865384615384577,0.9884169884169884,0.9846153846153847,0.9865125240847784,6,130,130,130
corner_large,2080,4,greedy,0.75,35,,1-2,0.7499999999999979,1.0,0.5,0.6666666666666666,1,130,130,130
corner_large,2080,4,connected,0.5,20,,0-1,0.9423076923076903,0.9069767441860465,0.9,0.9034749034749034,6,132,132,132
corner_large,2080,4,connected,0.5,20,,0-2,0.9865384615384577,0.9884169884169884,0.9846153846153847,0.9865125240847784,6,132,132,132
corner_large,2080,4,connected,0.5,20,,1-2,0.7499999999999979,1.0,0.5,0.6666666666666666,1,132,132,132
corner_large,2080,4,connected,0.75,35,,0-1,0.9423076923076903,0.9069767441860465,0.9,0.9034749034749034,6,130,130,130
corner_large,2080,4,connected,0.75,35,,0-2,0.9865384615384577,0.9884169884169884,0.9846153846153847,0.9865125240847784,6,130,130,130
corner_large,2080,4,connected,0.75,35,,1-2,0.7499999999999979,1.0,0.5,0.6666666666666666,1,130,130,130
corner_large,2080,4,dbscan,0.5,20,0.3,0-1,0.9423076923076903,0.9069767441860465,0.9,0.9034749034749034,6,132,132,132
corner_large,2080,4,dbscan,0.5,20,0.3,0-2,0.9865384615384577,0.9884169884169884,0.9846153846153847,0.9865125240847784,6,132,132,132
corner_large,2080,4,dbscan,0.5,20,0.3,1-2,0.7499999999999979,1.0,0.5,0.6666666666666666,1,132,132,132
