Conjunto,Metodo 1,Metodo 2,Metodo 3,Metodo 4,Metodo 5,Metodo 6,Metodo 7,Metodo 8,Metodo 9,Metodo 10,Metodo 11,Metodo 12,Metodo 13,Metodo 14,Metodo 15,Metodo 16,Metodo 17,Metodo 18,Metodo 19,Metodo 20,Metodo 21,Metodo 22,Score Global
"(x0, x1, x3, x8)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.539399
"(x0, x1, x5)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0.546931
"(x0, x1, x6)",No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,0.463335
"(x0, x1, x7)",No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,0.556464
"(x0, x1, x8)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,Si,No,No,No,No,No,No,0.541696
"(x0, x1, x9)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.496275
"(x0, x10)",No,Si,Si,No,No,No,Si,No,No,No,Si,No,No,No,Si,Si,Si,Si,Si,Si,No,No,0.408853
"(x0, x10, x13, x5)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.604053
"(x0, x10, x14)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.572628
"(x0, x10, x14, x18)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.608232
"(x0, x10, x14, x3)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.574168
"(x0, x10, x15, x3)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.428951
"(x0, x10, x15, x9)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.459778
"(x0, x10, x16, x18)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.587207
"(x0, x10, x16, x2)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.601376
"(x0, x10, x16, x4)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.588567
"(x0, x10, x16, x9)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0.525991
"(x0, x10, x17)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.463121
"(x0, x10, x18)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,Si,No,No,0.531619
"(x0, x10, x18, x19)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.542805
"(x0, x10, x18, x5)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.612706
"(x0, x10, x18, x8)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.615792
"(x0, x10, x19)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,0.447808
"(x0, x10, x19, x5)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.543588
"(x0, x10, x2)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.533666
"(x0, x10, x2, x5)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0.627502
"(x0, x10, x2, x7)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.5956
"(x0, x10, x3)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.430549
"(x0, x10, x5)",No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,0.522706
"(x0, x10, x5, x9)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.554865
"(x0, x10, x6)",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.423387
"(x0, x10, x7)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.511312
"(x0, x11)",No,Si,No,No,No,No,Si,Si,Si,No,Si,Si,Si,Si,No,Si,No,Si,Si,Si,No,No,0.495346
"(x0, x11, x13)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.522828
"(x0, x11, x13, x15)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.550314
"(x0, x11, x13, x16)",No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.630591
"(x0, x11, x13, x2)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.586132
"(x0, x11, x13, x3)",No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.522873
"(x0, x11, x13, x5)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.58958
"(x0, x11, x14)",No,Si,No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,0.580492
"(x0, x11, x14, x15)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.59702
"(x0, x11, x14, x16)",No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.672445
"(x0, x11, x14, x17)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.616163
"(x0, x11, x14, x2)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.640437
"(x0, x11, x14, x5)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.631389
"(x0, x11, x15)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.513207
"(x0, x11, x15, x17)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.552557
"(x0, x11, x15, x2)",No,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.567574
"(x0, x11, x15, x3)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.516379
"(x0, x11, x15, x5)",No,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.575654
"(x0, x11, x15, x7)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.594967
"(x0, x11, x15, x9)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.576018
"(x0, x11, x16)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.591931
"(x0, x11, x16, x18)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,0.644198
"(x0, x11, x16, x7)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.646044
"(x0, x11, x17)",No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,Si,No,No,No,No,No,No,No,0.536412
"(x0, x11, x17, x2)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.59961
"(x0, x11, x17, x3)",No,No,No,Si,No,No,No,No,Si,No,No,No,Si,Si,No,No,No,No,No,No,No,No,0.538166
"(x0, x11, x17, x4)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.599496
"(x0, x11, x17, x5)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.59348
"(x0, x11, x17, x7)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.599021
"(x0, x11, x17, x9)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.595176
"(x0, x11, x18)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,Si,No,No,No,No,No,No,0.577488
"(x0, x11, x18, x2)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,0.613857
"(x0, x11, x18, x5)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.630026
"(x0, x11, x18, x8)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,0.6519
"(x0, x11, x2)",No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.555725
"(x0, x11, x2, x3)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.555901
"(x0, x11, x2, x5)",No,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0.645562
"(x0, x11, x2, x7)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.652315
"(x0, x11, x2, x8)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.620024
"(x0, x11, x2, x9)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.657423
"(x0, x11, x3, x5)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.568553
"(x0, x11, x3, x7)",No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.590534
"(x0, x11, x3, x9)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.57144
"(x0, x11, x4)",No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.570092
"(x0, x11, x4, x5)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.62595
"(x0, x11, x5)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.564632
"(x0, x11, x5, x9)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.632306
"(x0, x11, x7)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.589931
"(x0, x11, x8)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,0.563712
"(x0, x11, x9)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.568455
"(x0, x12)",Si,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,0.363344
"(x0, x12, x15, x17)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.441704
"(x0, x12, x15, x3)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.397226
"(x0, x12, x16)",No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,0.472666
"(x0, x12, x16, x17)",No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,0.503634
"(x0, x12, x17, x2)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.51702
"(x0, x12, x17, x3)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.422398
"(x0, x12, x17, x5)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.513698
"(x0, x12, x2, x3)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.494659
"(x0, x12, x3, x5)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.470677
"(x0, x13)",No,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,Si,Si,Si,No,No,0.436294
"(x0, x13, x14, x15)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.565416
"(x0, x13, x14, x5)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0.616213
"(x0, x13, x15)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.466714
"(x0, x13, x15, x2)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.539265
"(x0, x13, x15, x8)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.526787
"(x0, x13, x16, x3)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.548202
"(x0, x13, x16, x4)",No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.604487
"(x0, x13, x16, x5)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.63995
"(x0, x13, x17)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.48492
"(x0, x13, x17, x2)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.559036
"(x0, x13, x17, x5)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.581408
"(x0, x13, x17, x8)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.559287
"(x0, x13, x18, x4)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.627203
"(x0, x13, x19, x2)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.573654
"(x0, x13, x19, x5)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.592689
"(x0, x13, x19, x7)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.569084
"(x0, x13, x2)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.529909
"(x0, x13, x2, x3)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.529718
"(x0, x13, x2, x4)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.589852
"(x0, x13, x2, x5)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0.638875
"(x0, x13, x2, x8)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.600636
"(x0, x13, x3, x5)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.544706
"(x0, x13, x3, x7)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.554472
"(x0, x13, x4)",No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.508179
"(x0, x13, x4, x5)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.60243
"(x0, x13, x5)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,Si,No,No,0.54591
"(x0, x13, x5, x7)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0.66575
"(x0, x13, x5, x8)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.593126
"(x0, x13, x5, x9)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.614558
"(x0, x13, x7)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.554413
"(x0, x13, x7, x9)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.584212
"(x0, x14)",No,Si,Si,No,No,No,Si,Si,No,No,Si,No,No,No,Si,No,No,No,Si,Si,No,No,0.50698
"(x0, x14, x15)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.533162
"(x0, x14, x15, x2)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.572252
"(x0, x14, x15, x5)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.594367
"(x0, x14, x16)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.597464
"(x0, x14, x17, x2)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.585761
"(x0, x14, x18)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.591025
"(x0, x14, x18, x2)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.618188
"(x0, x14, x18, x8)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.645526
"(x0, x14, x18, x9)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.630284
"(x0, x14, x2)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.571328
"(x0, x14, x2, x3)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.574711
"(x0, x14, x2, x5)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.657861
"(x0, x14, x5)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,Si,Si,No,No,0.582784
"(x0, x14, x5, x8)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.609257
"(x0, x14, x5, x9)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.661261
"(x0, x14, x7)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.623303
"(x0, x14, x8)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.55216
"(x0, x14, x8, x9)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.647735
"(x0, x15)",Si,Si,No,No,No,No,Si,Si,No,No,No,No,Si,Si,Si,No,No,Si,No,No,No,No,0.384046
"(x0, x15, x16)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.484697
"(x0, x15, x17)",No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,0.445169
"(x0, x15, x17, x2)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.522847
"(x0, x15, x17, x3)",No,No,No,Si,No,No,No,No,No,Si,No,No,Si,Si,No,No,No,No,No,No,No,No,0.438855
"(x0, x15, x17, x5)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.538571
"(x0, x15, x17, x9)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.487546
"(x0, x15, x2)",No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.503187
"(x0, x15, x2, x3)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.501446
"(x0, x15, x2, x5)",No,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.615184
"(x0, x15, x2, x8)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.567285
"(x0, x15, x2, x9)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.571945
"(x0, x15, x3)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.400489
"(x0, x15, x5)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.481758
"(x0, x15, x7, x9)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.53533
"(x0, x16)",No,Si,No,No,No,No,Si,No,No,No,No,Si,No,Si,Si,Si,No,No,Si,Si,No,No,0.474744
"(x0, x16, x17, x3)",No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,0.506496
"(x0, x16, x18)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,0.566316
"(x0, x16, x18, x2)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,0.629886
"(x0, x16, x18, x4)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,0.629093
"(x0, x16, x18, x8)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,0.639467
"(x0, x16, x18, x9)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,0.605054
"(x0, x16, x19)",No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.497676
"(x0, x16, x2)",Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,Si,No,No,0.584695
"(x0, x16, x2, x3)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.584474
"(x0, x16, x2, x4)",No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.625873
"(x0, x16, x2, x7)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.651706
"(x0, x16, x2, x8)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,0.641974
"(x0, x16, x3)",No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,0.485689
"(x0, x16, x3, x9)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.525682
"(x0, x16, x4, x5)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.641048
"(x0, x16, x4, x9)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.625545
"(x0, x16, x5)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.560737
"(x0, x16, x5, x8)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.595333
"(x0, x16, x7)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.56461
"(x0, x16, x7, x8)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.634251
"(x0, x16, x8)",Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,0.530498
"(x0, x16, x8, x9)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.580003
"(x0, x16, x9)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,0.514044
"(x0, x17)",No,Si,Si,No,No,No,Si,No,No,No,No,No,Si,Si,No,Si,No,No,No,Si,No,No,0.426489
