Conjunto,Metodo 1,Metodo 2,Metodo 3,Metodo 4,Metodo 5,Metodo 6,Metodo 7,Metodo 8,Metodo 9,Metodo 10,Metodo 11,Metodo 12,Metodo 13,Metodo 14,Metodo 15,Metodo 16,Metodo 17,Metodo 18,Metodo 19,Metodo 20,Metodo 21,Metodo 22,Score Global
"(age, alone)",No,Si,No,No,No,No,Si,No,Si,Si,Si,Si,No,No,Si,Si,No,No,Si,Si,No,No,0.593651
"(age, alone, deck)",No,Si,No,Si,No,No,No,No,No,Si,No,Si,No,No,Si,Si,No,No,No,No,No,No,0.593104
"(age, alone, embarked)",No,No,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,Si,No,No,No,0.598088
"(age, alone, family_size)",No,No,No,No,No,No,No,No,No,Si,No,Si,No,No,No,Si,No,No,No,Si,No,No,0.595908
"(age, alone, fare)",No,Si,No,Si,No,No,No,No,No,Si,No,Si,Si,Si,Si,Si,No,No,Si,No,No,No,0.612512
"(age, alone, parch)",No,No,No,No,No,No,No,No,No,Si,No,Si,No,No,Si,No,No,No,No,Si,No,No,0.597849
"(age, alone, pclass)",No,Si,No,Si,No,No,No,No,No,Si,No,Si,No,No,Si,Si,No,No,No,No,No,No,0.626921
"(age, alone, sex)",No,Si,No,Si,No,No,No,No,Si,Si,No,Si,No,No,Si,Si,No,No,No,Si,No,No,0.61558
"(age, alone, sibsp)",No,No,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,Si,No,No,No,0.588918
"(age, deck)",No,Si,No,Si,No,No,Si,No,No,Si,No,Si,No,No,Si,Si,No,No,Si,Si,No,No,0.592106
"(age, deck, embarked)",No,No,No,Si,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,Si,Si,No,No,0.598207
"(age, deck, family_size)",No,Si,No,Si,No,No,No,No,No,Si,No,Si,No,No,No,Si,No,No,No,No,No,No,0.597841
"(age, deck, fare)",No,Si,No,Si,No,No,No,No,No,Si,No,Si,Si,Si,No,No,No,No,No,No,No,No,0.610519
"(age, deck, parch)",No,Si,No,Si,No,No,No,No,Si,Si,No,Si,No,No,Si,Si,No,No,Si,No,No,No,0.600059
"(age, deck, pclass)",No,Si,No,Si,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,0.625301
"(age, deck, sex)",No,Si,No,Si,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,0.625979
"(age, deck, sibsp)",No,Si,No,Si,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,0.590528
"(age, embarked)",No,Si,No,No,No,No,Si,Si,No,Si,Si,Si,No,No,No,No,No,Si,Si,Si,No,No,0.58253
"(age, embarked, family_size)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,0.588159
"(age, embarked, fare)",No,Si,No,Si,No,No,No,Si,No,Si,No,Si,No,Si,No,No,No,No,Si,No,No,No,0.601619
"(age, embarked, parch)",No,No,No,Si,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,0.600865
"(age, embarked, pclass)",No,No,No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,Si,No,No,0.618443
"(age, embarked, sex)",No,No,No,Si,No,No,No,Si,Si,Si,No,Si,No,No,No,No,No,No,Si,No,No,No,0.622381
"(age, embarked, sibsp)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,0.591341
"(age, family_size)",No,Si,No,No,No,No,Si,Si,No,Si,No,Si,No,Si,Si,Si,No,No,Si,Si,No,No,0.591622
"(age, family_size, fare)",No,Si,Si,Si,No,No,No,Si,No,Si,No,No,No,Si,Si,Si,No,No,No,No,No,No,0.611232
"(age, family_size, parch)",No,No,No,Si,No,No,No,Si,No,Si,No,No,No,No,Si,No,No,No,No,Si,No,No,0.595663
"(age, family_size, pclass)",No,No,No,Si,No,No,No,Si,Si,Si,No,No,No,Si,Si,Si,No,No,No,No,No,No,0.626057
"(age, family_size, sex)",No,Si,No,Si,No,No,No,Si,No,Si,No,Si,No,No,Si,No,No,No,No,No,No,No,0.624181
"(age, family_size, sibsp)",No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,Si,No,No,0.594115
"(age, fare)",No,Si,No,Si,No,No,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,No,No,Si,Si,No,No,0.601404
"(age, fare, parch)",No,Si,No,Si,No,No,No,Si,Si,Si,No,Si,Si,Si,Si,No,No,No,No,No,No,No,0.6073
"(age, fare, pclass)",No,Si,No,Si,No,No,No,Si,No,Si,No,Si,Si,Si,Si,Si,No,No,Si,No,No,No,0.631137
"(age, fare, sex)",No,Si,No,Si,No,No,No,Si,No,Si,No,Si,Si,Si,Si,Si,No,No,No,No,No,No,0.631147
"(age, fare, sibsp)",No,Si,No,Si,No,No,No,Si,No,Si,No,No,Si,Si,No,No,No,No,No,Si,No,No,0.599775
"(age, parch)",No,Si,No,No,No,No,Si,Si,No,Si,Si,Si,No,No,Si,Si,No,Si,Si,Si,No,No,0.605497
"(age, parch, pclass)",No,Si,Si,Si,No,No,No,Si,No,Si,No,No,No,No,Si,Si,No,No,No,Si,No,No,0.642749
"(age, parch, sex)",No,Si,No,Si,No,No,No,Si,No,Si,No,Si,No,No,Si,No,No,No,No,No,No,No,0.625163
"(age, parch, sibsp)",No,Si,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,Si,No,No,0.595663
"(age, pclass)",Si,Si,No,Si,No,No,Si,Si,Si,Si,Si,Si,No,No,Si,Si,No,No,Si,Si,No,No,0.613988
