Conjunto,Metodo 1,Metodo 2,Metodo 3,Metodo 4,Metodo 5,Metodo 6,Metodo 7,Metodo 8,Metodo 9,Metodo 10,Metodo 11,Metodo 12,Metodo 13,Metodo 14,Metodo 15,Metodo 16,Metodo 17,Metodo 18,Metodo 19,Metodo 20,Metodo 21,Metodo 22,Score Global
"(alcalinity_of_ash, color_intensity, magnesium)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.778366
"(alcalinity_of_ash, color_intensity, malic_acid)",No,No,No,No,No,No,No,Si,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,0.834539
"(alcalinity_of_ash, color_intensity, od280/od315_of_diluted_wines)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.884575
"(alcalinity_of_ash, color_intensity, proline)",No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,0.914543
"(alcalinity_of_ash, color_intensity, total_phenols)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.863018
"(alcalinity_of_ash, flavanoids)",No,Si,No,No,No,No,Si,No,No,No,Si,No,No,No,Si,Si,No,Si,Si,Si,No,No,0.81722
"(alcalinity_of_ash, flavanoids, nonflavanoid_phenols)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.816106
"(alcalinity_of_ash, flavanoids, od280/od315_of_diluted_wines)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0.842533
"(alcalinity_of_ash, flavanoids, proanthocyanins)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,Si,No,No,No,0.804257
"(alcalinity_of_ash, flavanoids, proline)",No,No,No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.915967
"(alcalinity_of_ash, flavanoids, total_phenols)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,Si,No,No,No,0.804257
"(alcalinity_of_ash, hue)",No,No,No,No,No,No,Si,No,No,No,Si,No,No,No,Si,Si,No,No,Si,Si,No,Si,0.714137
"(alcalinity_of_ash, hue, magnesium)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.725881
"(alcalinity_of_ash, hue, od280/od315_of_diluted_wines)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.785603
"(alcalinity_of_ash, hue, proline)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.903052
"(alcalinity_of_ash, magnesium)",No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,Si,Si,No,0.55635
"(alcalinity_of_ash, magnesium, malic_acid)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.651104
"(alcalinity_of_ash, magnesium, nonflavanoid_phenols)",No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,0.592107
"(alcalinity_of_ash, magnesium, proline)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.700686
"(alcalinity_of_ash, malic_acid)",No,No,No,No,No,No,Si,Si,No,No,No,Si,No,Si,Si,No,No,Si,Si,Si,No,No,0.667183
"(alcalinity_of_ash, malic_acid, nonflavanoid_phenols)",No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.647622
"(alcalinity_of_ash, malic_acid, od280/od315_of_diluted_wines)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.796543
"(alcalinity_of_ash, malic_acid, proanthocyanins)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.669743
"(alcalinity_of_ash, malic_acid, proline)",No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.824824
"(alcalinity_of_ash, malic_acid, total_phenols)",No,No,No,No,No,No,No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,0.719854
"(alcalinity_of_ash, nonflavanoid_phenols)",No,No,No,No,No,No,Si,No,No,No,Si,Si,Si,No,No,Si,No,Si,Si,Si,No,No,0.550542
"(alcalinity_of_ash, nonflavanoid_phenols, od280/od315_of_diluted_wines)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.757972
"(alcalinity_of_ash, nonflavanoid_phenols, proanthocyanins)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,Si,No,No,0.596777
"(alcalinity_of_ash, nonflavanoid_phenols, proline)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,Si,No,No,Si,No,No,No,0.767806
"(alcalinity_of_ash, od280/od315_of_diluted_wines)",No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,Si,Si,No,No,0.765024
"(alcalinity_of_ash, od280/od315_of_diluted_wines, proanthocyanins)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0.736584
"(alcalinity_of_ash, od280/od315_of_diluted_wines, proline)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,0.909489
"(alcalinity_of_ash, od280/od315_of_diluted_wines, total_phenols)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,Si,No,No,0.758896
"(alcalinity_of_ash, proanthocyanins)",No,No,No,No,No,No,Si,No,No,No,Si,Si,No,No,Si,No,No,No,Si,Si,No,No,0.576423
"(alcalinity_of_ash, proanthocyanins, proline)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,Si,No,No,0.810552
"(alcalinity_of_ash, proanthocyanins, total_phenols)",No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,0.673291
"(alcalinity_of_ash, proline)",No,No,No,No,No,No,Si,Si,Si,Si,No,No,No,No,Si,Si,No,Si,Si,Si,No,Si,0.739057
"(alcalinity_of_ash, proline, total_phenols)",No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,0.831745
"(alcalinity_of_ash, total_phenols)",No,No,No,No,No,No,Si,Si,No,No,Si,No,No,No,No,Si,No,Si,Si,Si,No,No,0.682394
"(alcohol, ash)",No,No,No,No,No,No,Si,No,No,No,Si,Si,No,No,Si,No,No,No,Si,Si,No,No,0.67942
"(alcohol, ash, color_intensity)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,0.825111
"(alcohol, ash, hue)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.892003
"(alcohol, ash, magnesium)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,0.676347
"(alcohol, ash, malic_acid)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,Si,No,No,0.7957
"(alcohol, ash, nonflavanoid_phenols)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.805103
"(alcohol, ash, od280/od315_of_diluted_wines)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,0.934641
"(alcohol, ash, proanthocyanins)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.810295
"(alcohol, ash, total_phenols)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.893413
"(alcohol, color_intensity)",No,Si,Si,No,Si,Si,Si,No,No,No,No,Si,No,No,Si,Si,No,Si,Si,Si,No,No,0.817181
"(alcohol, color_intensity, flavanoids)",No,Si,No,Si,No,No,No,No,No,No,No,Si,Si,Si,No,No,No,No,No,No,No,No,0.954597
"(alcohol, color_intensity, hue)",No,Si,No,Si,No,No,No,No,No,No,No,Si,No,No,Si,Si,No,No,No,No,No,No,0.898953
"(alcohol, color_intensity, magnesium)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0.833047
"(alcohol, color_intensity, malic_acid)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,Si,No,No,No,No,No,No,0.890761
"(alcohol, color_intensity, od280/od315_of_diluted_wines)",No,Si,No,Si,No,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,0.934451
"(alcohol, color_intensity, proanthocyanins)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,0.905596
"(alcohol, color_intensity, proline)",Si,Si,No,Si,No,No,No,No,No,Si,No,Si,No,No,Si,Si,No,Si,No,Si,No,No,0.919943
"(alcohol, color_intensity, total_phenols)",No,Si,Si,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,0.908555
"(alcohol, flavanoids)",No,Si,No,No,No,No,Si,Si,Si,No,Si,Si,Si,Si,Si,No,No,Si,No,Si,Si,Si,0.935329
"(alcohol, flavanoids, hue)",No,Si,No,Si,No,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,0.954501
"(alcohol, flavanoids, magnesium)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,0.934378
"(alcohol, flavanoids, malic_acid)",No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.941642
"(alcohol, flavanoids, od280/od315_of_diluted_wines)",No,Si,No,Si,No,No,No,No,No,No,No,No,Si,No,Si,No,No,Si,No,Si,No,No,0.922205
"(alcohol, flavanoids, proanthocyanins)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.935329
"(alcohol, flavanoids, proline)",No,Si,No,Si,No,No,No,Si,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,0.942614
"(alcohol, flavanoids, total_phenols)",No,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,0.927823
"(alcohol, hue)",No,Si,Si,No,No,No,Si,Si,Si,No,Si,Si,No,No,Si,Si,No,Si,Si,Si,No,No,0.885027
"(alcohol, hue, malic_acid)",No,No,No,No,No,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,0.863464
"(alcohol, hue, nonflavanoid_phenols)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.892465
"(alcohol, hue, od280/od315_of_diluted_wines)",Si,Si,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,Si,No,Si,No,No,0.941861
"(alcohol, hue, proanthocyanins)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.933149
"(alcohol, hue, proline)",No,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.925793
"(alcohol, hue, total_phenols)",No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.934126
"(alcohol, magnesium)",No,Si,No,No,No,No,Si,No,No,No,Si,No,No,No,No,No,No,Si,Si,Si,Si,No,0.626905
"(alcohol, magnesium, malic_acid)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.795049
"(alcohol, magnesium, od280/od315_of_diluted_wines)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.915028
"(alcohol, magnesium, proline)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.795208
"(alcohol, magnesium, total_phenols)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,0.85338
"(alcohol, malic_acid)",No,Si,No,No,No,No,Si,Si,No,No,No,Si,No,No,Si,Si,No,No,Si,Si,No,Si,0.783023
"(alcohol, malic_acid, nonflavanoid_phenols)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,0.784406
"(alcohol, malic_acid, od280/od315_of_diluted_wines)",No,Si,Si,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,0.926888
"(alcohol, malic_acid, proanthocyanins)",No,No,No,No,No,No,No,Si,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,0.862081
"(alcohol, malic_acid, proline)",No,No,Si,No,No,No,No,Si,No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,0.844887
"(alcohol, malic_acid, total_phenols)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,0.880864
"(alcohol, nonflavanoid_phenols)",No,Si,No,No,No,No,Si,No,Si,No,No,Si,Si,No,No,Si,No,No,Si,Si,No,Si,0.799582
"(alcohol, nonflavanoid_phenols, od280/od315_of_diluted_wines)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,No,No,No,No,0.902087
"(alcohol, nonflavanoid_phenols, proanthocyanins)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.816287
"(alcohol, nonflavanoid_phenols, proline)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.861986
"(alcohol, nonflavanoid_phenols, total_phenols)",No,No,No,No,No,No,No,No,No,No,No,No,Si,No,Si,Si,No,No,No,No,No,No,0.867051
"(alcohol, od280/od315_of_diluted_wines)",Si,Si,No,No,No,No,Si,No,Si,No,No,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,0.902087
"(alcohol, od280/od315_of_diluted_wines, proanthocyanins)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,Si,No,No,0.928061
"(alcohol, od280/od315_of_diluted_wines, proline)",Si,Si,No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.928798
"(alcohol, od280/od315_of_diluted_wines, total_phenols)",No,Si,Si,No,No,No,No,No,No,No,No,Si,No,No,No,Si,No,No,No,Si,No,No,0.908311
"(alcohol, proanthocyanins)",No,Si,No,No,No,No,Si,Si,No,No,No,Si,No,No,Si,Si,No,No,Si,Si,No,No,0.778459
"(alcohol, proanthocyanins, proline)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,0.85157
"(alcohol, proanthocyanins, total_phenols)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.874393
"(alcohol, proline)",Si,Si,Si,No,Si,Si,Si,Si,No,Si,No,Si,No,No,Si,Si,Si,Si,Si,Si,No,No,0.821778
