Conjunto,Metodo 1,Metodo 2,Metodo 3,Metodo 4,Metodo 5,Metodo 6,Metodo 7,Metodo 8,Metodo 9,Metodo 10,Metodo 11,Metodo 12,Metodo 13,Metodo 14,Metodo 15,Metodo 16,Metodo 17,Metodo 18,Metodo 19,Metodo 20,Metodo 21,Metodo 22,Score Global
"(alcalinity_of_ash, alcohol)",No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,Si,Si,No,Si,Si,Si,No,No,0.78535
"(alcalinity_of_ash, alcohol, ash)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0.827693
"(alcalinity_of_ash, alcohol, color_intensity)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,Si,No,No,No,0.855845
"(alcalinity_of_ash, alcohol, flavanoids)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,0.95471
"(alcalinity_of_ash, alcohol, hue)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.893591
"(alcalinity_of_ash, alcohol, magnesium)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.75843
"(alcalinity_of_ash, alcohol, malic_acid)",No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0.859186
"(alcalinity_of_ash, alcohol, nonflavanoid_phenols)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.805408
"(alcalinity_of_ash, alcohol, od280/od315_of_diluted_wines)",No,No,No,No,No,No,No,No,Si,No,No,No,No,Si,Si,No,No,No,No,No,No,No,0.921569
"(alcalinity_of_ash, alcohol, proanthocyanins)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.847825
"(alcalinity_of_ash, alcohol, proline)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,Si,No,Si,No,No,0.871982
"(alcalinity_of_ash, alcohol, total_phenols)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.87964
"(alcalinity_of_ash, ash)",No,No,No,No,No,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0.641208
"(alcalinity_of_ash, ash, color_intensity)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.818942
"(alcalinity_of_ash, ash, flavanoids)",No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,0.87665
"(alcalinity_of_ash, ash, hue)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.815719
"(alcalinity_of_ash, ash, magnesium)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0.610548
"(alcalinity_of_ash, ash, malic_acid)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0.721161
"(alcalinity_of_ash, ash, nonflavanoid_phenols)",No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,0.68209
"(alcalinity_of_ash, ash, proline)",No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,Si,No,No,0.763704
"(alcalinity_of_ash, ash, total_phenols)",No,No,No,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,0.786861
"(alcalinity_of_ash, color_intensity)",Si,Si,No,No,No,No,Si,Si,No,No,No,Si,No,No,Si,No,No,No,No,Si,No,Si,0.769459
"(alcalinity_of_ash, color_intensity, flavanoids)",No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.889111
"(alcalinity_of_ash, color_intensity, hue)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,0.854936
