Conjunto,Metodo 1,Metodo 2,Metodo 3,Metodo 4,Metodo 5,Metodo 6,Metodo 7,Metodo 8,Metodo 9,Metodo 10,Metodo 11,Metodo 12,Metodo 13,Metodo 14,Metodo 15,Metodo 16,Metodo 17,Metodo 18,Metodo 19,Metodo 20,Metodo 21,Metodo 22,Score Global
"(area error, mean concave points, mean symmetry)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.905218
"(area error, mean concave points, mean texture)",No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,0.932765
"(area error, mean concave points, perimeter error)",No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,No,0.902333
"(area error, mean concave points, radius error)",No,No,No,Si,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,0.909117
"(area error, mean concave points, smoothness error)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.918597
"(area error, mean concavity)",No,Si,No,No,Si,No,Si,Si,No,No,No,Si,No,Si,Si,No,No,Si,No,No,Si,No,0.907538
"(area error, mean concavity, mean perimeter)",Si,No,No,Si,No,No,No,No,No,No,No,Si,No,No,Si,No,No,Si,No,No,Si,No,0.897387
"(area error, mean concavity, mean radius)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,0.900867
"(area error, mean concavity, mean symmetry)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.897079
"(area error, mean concavity, mean texture)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,0.902032
"(area error, mean concavity, perimeter error)",No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,0.904021
"(area error, mean concavity, radius error)",No,No,No,Si,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,0.904486
"(area error, mean concavity, texture error)",No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,0.900611
"(area error, mean fractal dimension)",No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,0.859363
"(area error, mean fractal dimension, mean perimeter)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,0.890123
