stage,callable,duration_s,start_s,end_s,params,n_samples,n_features,classes,class_distribution,n_estimators,depth,samples_used,features_used,records_generated,cp_enabled,segments_target,pairs_total,records_total,successful_records,planes_total,frontier_params,winning_planes,regions_total,run_index,best_f1,best_precision
dataset_generation,make_high_dim_classification_dataset,0.177064,14731.144731,14731.321795,"{""class_sep"": 2.1, ""n_features"": 25, ""n_informative"": 18, ""n_samples"": 30000, ""random_state"": 11}",30000.000000,25.000000,3.000000,"{""0"": 9992, ""1"": 10018, ""2"": 9990}",,,,,,,,,,,,,,,,,
model_fit,sklearn.ensemble.RandomForestClassifier.fit,8.974918,14731.325495,14740.300413,,,,,,30.000000,,30000.000000,25.000000,,,,,,,,,,,,,
deldel_fit,deldel.engine.DelDel.fit,1.899241,14740.300997,14742.200238,,,,,,,,,,750.000000,True,750.000000,,,,,,,,,,
pair_identification,deldel.experiments.run_corner_random_forest_pipeline/pairs,0.000344,14742.200471,14742.200815,,,,,,,,,,,,,4.000000,750.000000,347.000000,,,,,,,
frontier_computation,deldel.frontier_planes_all_modes.compute_frontier_planes_all_modes,2.959726,14742.201058,14745.160784,,,,,,,,,,,,,4.000000,,,11.000000,"{""mode"": ""C"", ""seed"": 11}",,,,,
selection_prune,deldel.globalmaj.prune_and_orient_planes_unified_globalmaj,0.218043,14745.161030,14745.379073,,,,,,,,,,,,,,,,,,4.000000,16.000000,,,
find_low_dim_spaces_run_0,deldel.find_low_dim_spaces_fast.find_low_dim_spaces,8.316504,14745.379315,14753.695820,"{""consider_dims_up_to"": 2, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 1, ""min_lift_prec"": 1.1, ""min_rel_gain_f1"": 0.02, ""min_support"": 350, ""rng_seed"": 11}",,,,,,,,,,,,,,,,,,100.000000,0.000000,"{""1"": 0.6310778215051853, ""2"": 0.6812822080526131}","{""1"": 0.862721277334259, ""2"": 0.9132587566477168}"
