experiment_id,dataset_config,hyperparam_id,hyperparams,hyperparam_pool,mode,label,time_s,avg_f1,avg_precision,avg_recall,avg_lift_precision,total_rules,class_0_total_rules,class_1_total_rules,class_2_total_rules,class_0_f1,class_0_precision,class_0_recall,class_0_lift_precision,class_1_f1,class_1_precision,class_1_recall,class_1_lift_precision,class_2_f1,class_2_precision,class_2_recall,class_2_lift_precision
2,"{'n_per_cluster': 181, 'std_class1': 0.3027717703255091, 'std_other': 0.8342330773295208, 'a': 3.3310104982243507, 'random_state': 1}",2,"{'max_planes': 20, 'beam_width': 96, 'min_size': 1, 'max_candidates_per_class': 2200, 'max_rules_per_class': 2600, 'lift_min': 0.15, 'top_k_floor_per_dim': 26, 'max_clause_candidates': 1000, 'clause_beam_width': 120, 'clause_iterations': 1600, 'clause_diverse_topk': 400, 'clause_overlap_max': 0.98, 'max_clauses': 12, 'max_dnf_rules_per_class': 18}",aggressive,or,find_comb_dim_spaces_full,5.409899948999737,0.43258860908472974,0.47471628700291973,0.6748410299176483,1.2056764070109223,106.0,0.0,87.0,12.0,0.0,0.0,0.0,0.0,0.3835534266272786,0.41607068613830717,0.6503460976693973,1.1638917647758242,0.5807513530844906,0.6646648271769678,0.7770871700429711,1.4291039464340816
2,"{'n_per_cluster': 181, 'std_class1': 0.3027717703255091, 'std_other': 0.8342330773295208, 'a': 3.3310104982243507, 'random_state': 1}",2,"{'max_planes': 14, 'beam_width': 72, 'min_size': 2, 'max_candidates_per_class': 1400, 'max_rules_per_class': 1800, 'lift_min': 0.25, 'top_k_floor_per_dim': 20, 'max_clause_candidates': 600, 'clause_beam_width': 84, 'clause_iterations': 1100, 'clause_diverse_topk': 240, 'clause_overlap_max': 0.95, 'max_clauses': 9, 'max_dnf_rules_per_class': 12}",default,dnf,find_comb_dim_spaces_full,2.7697799270008545,0.6348436076370096,0.8015318477818477,0.59975445058318,4.190032560032559,36.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7774177406042645,0.8797037037037038,0.7547575199508901,1.8524444444444446
2,"{'n_per_cluster': 181, 'std_class1': 0.3027717703255091, 'std_other': 0.8342330773295208, 'a': 3.3310104982243507, 'random_state': 1}",2,"{'max_planes': 14, 'beam_width': 72, 'min_size': 2, 'max_candidates_per_class': 1400, 'max_rules_per_class': 1800, 'lift_min': 0.25, 'top_k_floor_per_dim': 20, 'max_clause_candidates': 600, 'clause_beam_width': 84, 'clause_iterations': 1100, 'clause_diverse_topk': 240, 'clause_overlap_max': 0.95, 'max_clauses': 9, 'max_dnf_rules_per_class': 12}",default,and_or_greedy,find_comb_dim_spaces_full,1.9364401699995142,0.6373681707587487,0.6780205244948564,0.761279926335175,3.216669545716534,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"{'n_per_cluster': 181, 'std_class1': 0.3027717703255091, 'std_other': 0.8342330773295208, 'a': 3.3310104982243507, 'random_state': 1}",2,"{'max_planes': 20, 'beam_width': 96, 'min_size': 1, 'max_candidates_per_class': 2200, 'max_rules_per_class': 2600, 'lift_min': 0.15, 'top_k_floor_per_dim': 26, 'max_clause_candidates': 1000, 'clause_beam_width': 120, 'clause_iterations': 1600, 'clause_diverse_topk': 400, 'clause_overlap_max': 0.98, 'max_clauses': 12, 'max_dnf_rules_per_class': 18}",aggressive,and_or_beam,find_comb_dim_spaces_full,4.8993262989997675,0.6689641831709527,0.8865486365486365,0.5659231975990726,4.87016687016687,54.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8227642276422765,1.0,0.6988950276243094,1.3333333333333333
2,"{'n_per_cluster': 181, 'std_class1': 0.3027717703255091, 'std_other': 0.8342330773295208, 'a': 3.3310104982243507, 'random_state': 1}",2,"{'max_planes': 14, 'beam_width': 72, 'min_size': 2, 'max_candidates_per_class': 1400, 'max_rules_per_class': 1800, 'lift_min': 0.25, 'top_k_floor_per_dim': 20, 'max_clause_candidates': 600, 'clause_beam_width': 84, 'clause_iterations': 1100, 'clause_diverse_topk': 240, 'clause_overlap_max': 0.95, 'max_clauses': 9, 'max_dnf_rules_per_class': 12}",default,and_or_random,find_comb_dim_spaces_full,2.1271927380003035,0.5507648982339579,0.707134311518932,0.6050491098833639,3.434852269929234,36.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.520548975312246,1.0,0.35573971761817064,1.3333333333333333,0.6195459308205229,0.6571925010101608,0.7489257213014119,2.4797622303035083
2,"{'n_per_cluster': 181, 'std_class1': 0.3027717703255091, 'std_other': 0.8342330773295208, 'a': 3.3310104982243507, 'random_state': 1}",2,"{'max_planes': 14, 'beam_width': 72, 'min_size': 2, 'max_candidates_per_class': 1400, 'max_rules_per_class': 1800, 'lift_min': 0.25, 'top_k_floor_per_dim': 20, 'max_clause_candidates': 600, 'clause_beam_width': 84, 'clause_iterations': 1100, 'clause_diverse_topk': 240, 'clause_overlap_max': 0.95, 'max_clauses': 9, 'max_dnf_rules_per_class': 12}",default,and_or_diverse,find_comb_dim_spaces_full,1.9892789140003515,0.5592535104769101,0.5666094546458897,0.8220789850624105,2.4087838427368857,27.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.615678776290631,1.0,0.4447513812154696,1.3333333333333333,0.8422721661771593,0.9993932038834952,0.7283609576427257,1.3325242718446602
3,"{'n_per_cluster': 153, 'std_class1': 0.49592636847790067, 'std_other': 0.861462442588915, 'a': 2.9616734097065787, 'random_state': 2}",3,"{'max_planes': 16, 'beam_width': 72, 'min_size': 1, 'max_candidates_per_class': 1600, 'max_rules_per_class': 2000, 'lift_min': 0.2, 'top_k_floor_per_dim': 22}",default,find_comb_dim_spaces,find_comb_dim_spaces,1.579405611000766,0.3836448075016256,0.4277354672144845,0.6561777059048133,1.911538802473094,97.0,0.0,71.0,17.0,0.0,0.0,0.0,0.0,0.3679884088408057,0.4031841294108488,0.6759642824265856,1.2559407528658997,0.49047974166850483,0.3962535154510641,0.769447648340382,2.777871260863414
3,"{'n_per_cluster': 153, 'std_class1': 0.49592636847790067, 'std_other': 0.861462442588915, 'a': 2.9616734097065787, 'random_state': 2}",3,"{'max_planes': 16, 'beam_width': 72, 'min_size': 1, 'max_candidates_per_class': 1600, 'max_rules_per_class': 2000, 'lift_min': 0.2, 'top_k_floor_per_dim': 22, 'max_clause_candidates': 700, 'clause_beam_width': 96, 'clause_iterations': 1300, 'clause_diverse_topk': 300, 'clause_overlap_max': 0.97, 'max_clauses': 10, 'max_dnf_rules_per_class': 14}",default,and,find_comb_dim_spaces_full,1.6578514289994928,0.3836448075016256,0.4277354672144845,0.6561777059048133,1.911538802473094,97.0,0.0,71.0,17.0,0.0,0.0,0.0,0.0,0.3679884088408057,0.4031841294108488,0.6759642824265856,1.2559407528658997,0.49047974166850483,0.3962535154510641,0.769447648340382,2.777871260863414
3,"{'n_per_cluster': 153, 'std_class1': 0.49592636847790067, 'std_other': 0.861462442588915, 'a': 2.9616734097065787, 'random_state': 2}",1,"{'max_planes': 16, 'beam_width': 84, 'min_size': 1, 'max_candidates_per_class': 1800, 'max_rules_per_class': 2400, 'lift_min': 0.2, 'top_k_floor_per_dim': 24, 'max_clause_candidates': 800, 'clause_beam_width': 96, 'clause_iterations': 1400, 'clause_diverse_topk': 320, 'clause_overlap_max': 0.97, 'max_clauses': 10, 'max_dnf_rules_per_class': 16}",aggressive,or,find_comb_dim_spaces_full,4.015479352000511,0.41205724267726884,0.4617500307116293,0.6644390590193631,1.241067945772908,89.0,0.0,79.0,8.0,0.0,0.0,0.0,0.0,0.3708660823564801,0.4041162011848261,0.6619646452111084,1.2257971005600472,0.7059167962409825,0.8992994129377316,0.6631263616557734,1.37277160598782
3,"{'n_per_cluster': 153, 'std_class1': 0.49592636847790067, 'std_other': 0.861462442588915, 'a': 2.9616734097065787, 'random_state': 2}",3,"{'max_planes': 16, 'beam_width': 72, 'min_size': 1, 'max_candidates_per_class': 1600, 'max_rules_per_class': 2000, 'lift_min': 0.2, 'top_k_floor_per_dim': 22, 'max_clause_candidates': 700, 'clause_beam_width': 96, 'clause_iterations': 1300, 'clause_diverse_topk': 300, 'clause_overlap_max': 0.97, 'max_clauses': 10, 'max_dnf_rules_per_class': 14}",default,dnf,find_comb_dim_spaces_full,2.4535348029994566,0.4725195419422218,0.7949182994771103,0.4101566552546946,4.137124173594659,42.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.585356811862836,1.0,0.4150326797385621,1.3333333333333333,0.6061279138874545,0.9407871821664925,0.49213265553134833,1.600371531406014
