n_samples,n_features,sampled_size,sample_fraction,time_sampling,time_processing_sample,time_processing_full,time_with_sampling,time_without_sampling,estimated_speedup
2000,16,354,0.177,0.0007560290000014902,3.63590000347358e-05,0.00014279300000907824,0.000792388000036226,0.00014279300000907824,0.18020590922950638
8000,32,1002,0.12525,0.001960687999996935,0.00011920299999701456,0.005398681000031047,0.0020798909999939497,0.005398681000031047,2.595655733904686
20000,48,1956,0.0978,0.007029688999978134,0.00029293000000052416,0.020871391000014228,0.007322618999978658,0.020871391000014228,2.8502631367376967
