dataset,dataset_desc,dataset_n_samples,dataset_n_dims,run_index,finder_runtime_s,mean_f1,mean_lift_precision,total_regions,per_class,valuable_counts,params_json
corner,Corner 4D dataset canonico,200,4,10,0.062160,0.551692,1.662398,20,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 1, ""mean_f1"": 0.8571428571423673, ""mean_lift_precision"": 1.0}, ""2"": {""count"": 3, ""mean_f1"": 0.40215053763408726, ""mean_lift_precision"": 2.0134680134680134}}","{""1"": 10, ""2"": 10}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 3, ""max_rules_per_dim"": 10, ""min_abs_gain_f1"": 0.02699205456508366, ""min_abs_gain_prec"": 0.04714267852789905, ""min_lift_prec"": 1.0891938776465602, ""min_rel_gain_f1"": 0.048748972962947563, ""min_support"": 12, ""rng_seed"": 5915, ""sample_limit_per_r"": 1100, ""union_max_pairs_per_bucket"": 135}"
corner,Corner 4D dataset canonico,200,4,11,0.064104,0.551692,1.662398,21,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 1, ""mean_f1"": 0.8571428571423673, ""mean_lift_precision"": 1.0}, ""2"": {""count"": 3, ""mean_f1"": 0.40215053763408726, ""mean_lift_precision"": 2.0134680134680134}}","{""1"": 11, ""2"": 10}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 3, ""max_rules_per_dim"": 14, ""min_abs_gain_f1"": 0.04018360384495573, ""min_abs_gain_prec"": 0.044627949924498894, ""min_lift_prec"": 1.082762322965554, ""min_rel_gain_f1"": 0.0698453866248297, ""min_support"": 10, ""rng_seed"": 5592, ""sample_limit_per_r"": 800, ""union_max_pairs_per_bucket"": 141}"
corner,Corner 4D dataset canonico,200,4,12,0.041416,0.551692,1.662398,12,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 1, ""mean_f1"": 0.8571428571423673, ""mean_lift_precision"": 1.0}, ""2"": {""count"": 3, ""mean_f1"": 0.40215053763408726, ""mean_lift_precision"": 2.0134680134680134}}","{""1"": 6, ""2"": 6}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 6, ""min_abs_gain_f1"": 0.021355389431312818, ""min_abs_gain_prec"": 0.04303652916281717, ""min_lift_prec"": 1.3290257587097722, ""min_rel_gain_f1"": 0.019006877840813393, ""min_support"": 6, ""rng_seed"": 3748, ""sample_limit_per_r"": 2000, ""union_max_pairs_per_bucket"": 111}"
corner,Corner 4D dataset canonico,200,4,13,0.061175,0.522419,1.702640,30,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 3, ""mean_f1"": 0.7545787545782613, ""mean_lift_precision"": 1.0271002710027102}, ""2"": {""count"": 3, ""mean_f1"": 0.4168944778564223, ""mean_lift_precision"": 2.107092429673075}}","{""1"": 11, ""2"": 10, ""3"": 9}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 1, ""max_rules_per_dim"": 13, ""min_abs_gain_f1"": 0.02790510010086706, ""min_abs_gain_prec"": 0.003244612355449078, ""min_lift_prec"": 1.167496106712636, ""min_rel_gain_f1"": 0.01828237334627255, ""min_support"": 11, ""rng_seed"": 3581, ""sample_limit_per_r"": 1400, ""union_max_pairs_per_bucket"": 61}"
corner,Corner 4D dataset canonico,200,4,14,0.070276,0.522419,1.702640,24,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 3, ""mean_f1"": 0.7545787545782613, ""mean_lift_precision"": 1.0271002710027102}, ""2"": {""count"": 3, ""mean_f1"": 0.4168944778564223, ""mean_lift_precision"": 2.107092429673075}}","{""1"": 8, ""2"": 8, ""3"": 8}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 8, ""min_abs_gain_f1"": 0.04988702425244709, ""min_abs_gain_prec"": 0.04883074779163265, ""min_lift_prec"": 1.114044595567361, ""min_rel_gain_f1"": 0.01269886746631859, ""min_support"": 6, ""rng_seed"": 8164, ""sample_limit_per_r"": 2000, ""union_max_pairs_per_bucket"": 136}"
corner,Corner 4D dataset canonico,200,4,15,0.053554,0.551692,1.662398,12,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 1, ""mean_f1"": 0.8571428571423673, ""mean_lift_precision"": 1.0}, ""2"": {""count"": 3, ""mean_f1"": 0.40215053763408726, ""mean_lift_precision"": 2.0134680134680134}}","{""1"": 6, ""2"": 6}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 6, ""min_abs_gain_f1"": 0.02654672916585682, ""min_abs_gain_prec"": 0.027644654453566397, ""min_lift_prec"": 1.1846354341835057, ""min_rel_gain_f1"": 0.05477573067282658, ""min_support"": 8, ""rng_seed"": 8958, ""sample_limit_per_r"": 1400, ""union_max_pairs_per_bucket"": 172}"
corner,Corner 4D dataset canonico,200,4,16,0.063223,0.551692,1.662398,20,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 1, ""mean_f1"": 0.8571428571423673, ""mean_lift_precision"": 1.0}, ""2"": {""count"": 3, ""mean_f1"": 0.40215053763408726, ""mean_lift_precision"": 2.0134680134680134}}","{""1"": 10, ""2"": 10}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 3, ""max_rules_per_dim"": 10, ""min_abs_gain_f1"": 0.019941222122227653, ""min_abs_gain_prec"": 0.03991725624922756, ""min_lift_prec"": 1.3284084305555597, ""min_rel_gain_f1"": 0.07869042813069259, ""min_support"": 9, ""rng_seed"": 2511, ""sample_limit_per_r"": 1400, ""union_max_pairs_per_bucket"": 119}"
corner,Corner 4D dataset canonico,200,4,17,0.074294,0.522419,1.702640,27,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 3, ""mean_f1"": 0.7545787545782613, ""mean_lift_precision"": 1.0271002710027102}, ""2"": {""count"": 3, ""mean_f1"": 0.4168944778564223, ""mean_lift_precision"": 2.107092429673075}}","{""1"": 9, ""2"": 9, ""3"": 9}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 1, ""max_rules_per_dim"": 9, ""min_abs_gain_f1"": 0.02560465291496405, ""min_abs_gain_prec"": 0.0322586395204725, ""min_lift_prec"": 1.0983333523271959, ""min_rel_gain_f1"": 0.002310438485300636, ""min_support"": 9, ""rng_seed"": 6694, ""sample_limit_per_r"": 500, ""union_max_pairs_per_bucket"": 177}"
corner,Corner 4D dataset canonico,200,4,18,0.077131,0.522419,1.702640,18,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 3, ""mean_f1"": 0.7545787545782613, ""mean_lift_precision"": 1.0271002710027102}, ""2"": {""count"": 3, ""mean_f1"": 0.4168944778564223, ""mean_lift_precision"": 2.107092429673075}}","{""1"": 6, ""2"": 6, ""3"": 6}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 3, ""max_rules_per_dim"": 6, ""min_abs_gain_f1"": 0.04623468091392814, ""min_abs_gain_prec"": 0.012897081385757781, ""min_lift_prec"": 1.3521623478185825, ""min_rel_gain_f1"": 0.009964408178006538, ""min_support"": 14, ""rng_seed"": 9208, ""sample_limit_per_r"": 800, ""union_max_pairs_per_bucket"": 161}"
corner,Corner 4D dataset canonico,200,4,19,0.051647,0.551692,1.662398,12,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 1, ""mean_f1"": 0.8571428571423673, ""mean_lift_precision"": 1.0}, ""2"": {""count"": 3, ""mean_f1"": 0.40215053763408726, ""mean_lift_precision"": 2.0134680134680134}}","{""1"": 6, ""2"": 6}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 3, ""max_rules_per_dim"": 6, ""min_abs_gain_f1"": 0.04827096756443969, ""min_abs_gain_prec"": 0.044131817159466985, ""min_lift_prec"": 1.227734446906768, ""min_rel_gain_f1"": 0.07970404228087602, ""min_support"": 7, ""rng_seed"": 9874, ""sample_limit_per_r"": 500, ""union_max_pairs_per_bucket"": 148}"
