dataset,dataset_desc,dataset_n_samples,dataset_n_dims,run_index,finder_runtime_s,mean_f1,mean_lift_precision,total_regions,per_class,valuable_counts,params_json
wide_classification,Clasificación ancha inspirada en stress tests,240,7,208,0.040481,0.612398,1.566427,6,"{""0"": {""count"": 2, ""mean_f1"": 0.6560209424078953, ""mean_lift_precision"": 1.6754591783360482}, ""1"": {""count"": 2, ""mean_f1"": 0.5392817059479134, ""mean_lift_precision"": 1.2878235579505035}, ""2"": {""count"": 2, ""mean_f1"": 0.6418927064491808, ""mean_lift_precision"": 1.735999679075738}}","{""1"": 6, ""2"": 0}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 1, ""max_rules_per_dim"": 11, ""min_abs_gain_f1"": 0.02609225376732894, ""min_abs_gain_prec"": 0.04508915356719332, ""min_lift_prec"": 1.1380531564049565, ""min_rel_gain_f1"": 0.05585787910498782, ""min_support"": 10, ""rng_seed"": 6226, ""sample_limit_per_r"": 1400, ""union_max_pairs_per_bucket"": 118}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,209,0.074266,0.664010,1.715146,7,"{""0"": {""count"": 3, ""mean_f1"": 0.6746945898773532, ""mean_lift_precision"": 1.731800995322284}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 7, ""2"": 0}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 7, ""min_abs_gain_f1"": 0.02072550687109447, ""min_abs_gain_prec"": 0.00523423848817009, ""min_lift_prec"": 1.0769911592436652, ""min_rel_gain_f1"": 0.007702124670352998, ""min_support"": 9, ""rng_seed"": 4823, ""sample_limit_per_r"": 2000, ""union_max_pairs_per_bucket"": 66}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,210,0.074259,0.622870,1.565458,12,"{""0"": {""count"": 3, ""mean_f1"": 0.6746945898773532, ""mean_lift_precision"": 1.731800995322284}, ""1"": {""count"": 3, ""mean_f1"": 0.5405910961461994, ""mean_lift_precision"": 1.2660822278896122}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 12, ""2"": 0}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 12, ""min_abs_gain_f1"": 0.003250294495695433, ""min_abs_gain_prec"": 0.044238331443030264, ""min_lift_prec"": 1.3588134590056005, ""min_rel_gain_f1"": 0.0406543860896623, ""min_support"": 10, ""rng_seed"": 6851, ""sample_limit_per_r"": 1700, ""union_max_pairs_per_bucket"": 72}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,211,0.075136,0.622870,1.565458,12,"{""0"": {""count"": 3, ""mean_f1"": 0.6746945898773532, ""mean_lift_precision"": 1.731800995322284}, ""1"": {""count"": 3, ""mean_f1"": 0.5405910961461994, ""mean_lift_precision"": 1.2660822278896122}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 12, ""2"": 0}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 14, ""min_abs_gain_f1"": 0.016146109927879043, ""min_abs_gain_prec"": 0.026964233866731975, ""min_lift_prec"": 1.2331969849172297, ""min_rel_gain_f1"": 0.03374253227254853, ""min_support"": 6, ""rng_seed"": 7092, ""sample_limit_per_r"": 1400, ""union_max_pairs_per_bucket"": 159}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,212,0.053570,0.612398,1.566427,6,"{""0"": {""count"": 2, ""mean_f1"": 0.6560209424078953, ""mean_lift_precision"": 1.6754591783360482}, ""1"": {""count"": 2, ""mean_f1"": 0.5392817059479134, ""mean_lift_precision"": 1.2878235579505035}, ""2"": {""count"": 2, ""mean_f1"": 0.6418927064491808, ""mean_lift_precision"": 1.735999679075738}}","{""1"": 6, ""2"": 0}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 1, ""max_rules_per_dim"": 7, ""min_abs_gain_f1"": 0.026447578903385033, ""min_abs_gain_prec"": 0.01296637368872341, ""min_lift_prec"": 1.1251887471446982, ""min_rel_gain_f1"": 0.03664339499127944, ""min_support"": 6, ""rng_seed"": 2017, ""sample_limit_per_r"": 1100, ""union_max_pairs_per_bucket"": 60}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,213,0.193807,0.627718,1.718147,18,"{""0"": {""count"": 3, ""mean_f1"": 0.7114095657227599, ""mean_lift_precision"": 2.0706776596070737}, ""1"": {""count"": 3, ""mean_f1"": 0.5184193564376192, ""mean_lift_precision"": 1.3852721678679032}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 9, ""2"": 9, ""3"": 0}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 9, ""min_abs_gain_f1"": 0.002275913007006247, ""min_abs_gain_prec"": 0.02947998858698327, ""min_lift_prec"": 1.1885620891723236, ""min_rel_gain_f1"": 0.05055296180953982, ""min_support"": 9, ""rng_seed"": 7142, ""sample_limit_per_r"": 800, ""union_max_pairs_per_bucket"": 121}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,214,0.072445,0.623743,1.550964,10,"{""0"": {""count"": 3, ""mean_f1"": 0.6746945898773532, ""mean_lift_precision"": 1.731800995322284}, ""1"": {""count"": 2, ""mean_f1"": 0.5432098765427711, ""mean_lift_precision"": 1.2225995677678296}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 10, ""2"": 0}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 10, ""min_abs_gain_f1"": 0.0453013004560626, ""min_abs_gain_prec"": 0.020417191738252374, ""min_lift_prec"": 1.2327797187621712, ""min_rel_gain_f1"": 0.019900327730653335, ""min_support"": 13, ""rng_seed"": 3768, ""sample_limit_per_r"": 1100, ""union_max_pairs_per_bucket"": 57}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,215,0.071137,0.627718,1.718147,18,"{""0"": {""count"": 3, ""mean_f1"": 0.7114095657227599, ""mean_lift_precision"": 2.0706776596070737}, ""1"": {""count"": 3, ""mean_f1"": 0.5184193564376192, ""mean_lift_precision"": 1.3852721678679032}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 9, ""2"": 9}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 3, ""max_rules_per_dim"": 9, ""min_abs_gain_f1"": 0.004627766963110908, ""min_abs_gain_prec"": 0.0029383901514932146, ""min_lift_prec"": 1.185127222057183, ""min_rel_gain_f1"": 0.04454178424360211, ""min_support"": 12, ""rng_seed"": 6590, ""sample_limit_per_r"": 500, ""union_max_pairs_per_bucket"": 116}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,216,0.086512,0.635109,1.678417,22,"{""0"": {""count"": 3, ""mean_f1"": 0.7114095657227599, ""mean_lift_precision"": 2.0706776596070737}, ""1"": {""count"": 3, ""mean_f1"": 0.5405910961461994, ""mean_lift_precision"": 1.2660822278896122}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 12, ""2"": 10}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 13, ""min_abs_gain_f1"": 0.004469938568103099, ""min_abs_gain_prec"": 0.0063399980912843545, ""min_lift_prec"": 1.164142312964631, ""min_rel_gain_f1"": 0.03451762612582167, ""min_support"": 8, ""rng_seed"": 3315, ""sample_limit_per_r"": 1700, ""union_max_pairs_per_bucket"": 141}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,217,0.201296,0.635109,1.678417,22,"{""0"": {""count"": 3, ""mean_f1"": 0.7114095657227599, ""mean_lift_precision"": 2.0706776596070737}, ""1"": {""count"": 3, ""mean_f1"": 0.5405910961461994, ""mean_lift_precision"": 1.2660822278896122}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 12, ""2"": 10, ""3"": 0}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 12, ""min_abs_gain_f1"": 0.030131000336164976, ""min_abs_gain_prec"": 0.027371605233321897, ""min_lift_prec"": 1.1910611352570728, ""min_rel_gain_f1"": 0.06388320271678649, ""min_support"": 12, ""rng_seed"": 9463, ""sample_limit_per_r"": 1700, ""union_max_pairs_per_bucket"": 107}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,218,0.214644,0.635109,1.678417,22,"{""0"": {""count"": 3, ""mean_f1"": 0.7114095657227599, ""mean_lift_precision"": 2.0706776596070737}, ""1"": {""count"": 3, ""mean_f1"": 0.5405910961461994, ""mean_lift_precision"": 1.2660822278896122}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 12, ""2"": 10, ""3"": 0}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 13, ""min_abs_gain_f1"": 0.03736328988751463, ""min_abs_gain_prec"": 0.025641870916814198, ""min_lift_prec"": 1.1509670811753525, ""min_rel_gain_f1"": 0.039206079788825066, ""min_support"": 13, ""rng_seed"": 721, ""sample_limit_per_r"": 1400, ""union_max_pairs_per_bucket"": 61}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,219,0.139592,0.623743,1.550964,9,"{""0"": {""count"": 3, ""mean_f1"": 0.6746945898773532, ""mean_lift_precision"": 1.731800995322284}, ""1"": {""count"": 1, ""mean_f1"": 0.5432098765427711, ""mean_lift_precision"": 1.2225995677678296}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 9, ""2"": 0, ""3"": 0}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 9, ""min_abs_gain_f1"": 0.04519412360044877, ""min_abs_gain_prec"": 0.010960813224342409, ""min_lift_prec"": 1.31325490117467, ""min_rel_gain_f1"": 0.056470133062276585, ""min_support"": 10, ""rng_seed"": 4393, ""sample_limit_per_r"": 1100, ""union_max_pairs_per_bucket"": 118}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,220,0.105876,0.612398,1.566427,6,"{""0"": {""count"": 2, ""mean_f1"": 0.6560209424078953, ""mean_lift_precision"": 1.6754591783360482}, ""1"": {""count"": 2, ""mean_f1"": 0.5392817059479134, ""mean_lift_precision"": 1.2878235579505035}, ""2"": {""count"": 2, ""mean_f1"": 0.6418927064491808, ""mean_lift_precision"": 1.735999679075738}}","{""1"": 6, ""2"": 0, ""3"": 0}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 1, ""max_rules_per_dim"": 7, ""min_abs_gain_f1"": 0.025304676180977766, ""min_abs_gain_prec"": 0.04644814591919561, ""min_lift_prec"": 1.3206854210384007, ""min_rel_gain_f1"": 0.03088260678877801, ""min_support"": 14, ""rng_seed"": 3361, ""sample_limit_per_r"": 1100, ""union_max_pairs_per_bucket"": 71}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,221,0.154332,0.622870,1.565458,12,"{""0"": {""count"": 3, ""mean_f1"": 0.6746945898773532, ""mean_lift_precision"": 1.731800995322284}, ""1"": {""count"": 3, ""mean_f1"": 0.5405910961461994, ""mean_lift_precision"": 1.2660822278896122}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 12, ""2"": 0, ""3"": 0}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 13, ""min_abs_gain_f1"": 0.011905574346256255, ""min_abs_gain_prec"": 0.017675317164174083, ""min_lift_prec"": 1.1468797142575553, ""min_rel_gain_f1"": 0.029698604165725936, ""min_support"": 15, ""rng_seed"": 3582, ""sample_limit_per_r"": 1100, ""union_max_pairs_per_bucket"": 69}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,222,0.223106,0.635109,1.678417,22,"{""0"": {""count"": 3, ""mean_f1"": 0.7114095657227599, ""mean_lift_precision"": 2.0706776596070737}, ""1"": {""count"": 3, ""mean_f1"": 0.5405910961461994, ""mean_lift_precision"": 1.2660822278896122}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 12, ""2"": 10, ""3"": 0}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 12, ""min_abs_gain_f1"": 0.042733673201408466, ""min_abs_gain_prec"": 0.042789970418436823, ""min_lift_prec"": 1.2701194778732083, ""min_rel_gain_f1"": 0.06783429828293049, ""min_support"": 14, ""rng_seed"": 895, ""sample_limit_per_r"": 1700, ""union_max_pairs_per_bucket"": 123}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,223,0.179206,0.627718,1.718147,18,"{""0"": {""count"": 3, ""mean_f1"": 0.7114095657227599, ""mean_lift_precision"": 2.0706776596070737}, ""1"": {""count"": 3, ""mean_f1"": 0.5184193564376192, ""mean_lift_precision"": 1.3852721678679032}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 9, ""2"": 9, ""3"": 0}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 9, ""min_abs_gain_f1"": 0.013453024168926403, ""min_abs_gain_prec"": 0.015095156962643236, ""min_lift_prec"": 1.1294040551031426, ""min_rel_gain_f1"": 0.03603799577559474, ""min_support"": 11, ""rng_seed"": 6675, ""sample_limit_per_r"": 1100, ""union_max_pairs_per_bucket"": 52}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,224,0.104686,0.612398,1.566427,6,"{""0"": {""count"": 2, ""mean_f1"": 0.6560209424078953, ""mean_lift_precision"": 1.6754591783360482}, ""1"": {""count"": 2, ""mean_f1"": 0.5392817059479134, ""mean_lift_precision"": 1.2878235579505035}, ""2"": {""count"": 2, ""mean_f1"": 0.6418927064491808, ""mean_lift_precision"": 1.735999679075738}}","{""1"": 6, ""2"": 0, ""3"": 0}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 1, ""max_rules_per_dim"": 13, ""min_abs_gain_f1"": 0.042054578602868924, ""min_abs_gain_prec"": 0.022060345797424746, ""min_lift_prec"": 1.058674170617449, ""min_rel_gain_f1"": 0.01793062034889474, ""min_support"": 6, ""rng_seed"": 6097, ""sample_limit_per_r"": 2000, ""union_max_pairs_per_bucket"": 53}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,225,0.039822,0.612398,1.566427,6,"{""0"": {""count"": 2, ""mean_f1"": 0.6560209424078953, ""mean_lift_precision"": 1.6754591783360482}, ""1"": {""count"": 2, ""mean_f1"": 0.5392817059479134, ""mean_lift_precision"": 1.2878235579505035}, ""2"": {""count"": 2, ""mean_f1"": 0.6418927064491808, ""mean_lift_precision"": 1.735999679075738}}","{""1"": 6, ""2"": 0}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 1, ""max_rules_per_dim"": 10, ""min_abs_gain_f1"": 0.03687153250582944, ""min_abs_gain_prec"": 0.010822386352391534, ""min_lift_prec"": 1.2222205348882993, ""min_rel_gain_f1"": 0.001196049427447314, ""min_support"": 12, ""rng_seed"": 8147, ""sample_limit_per_r"": 1100, ""union_max_pairs_per_bucket"": 166}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,226,0.072763,0.635109,1.678417,22,"{""0"": {""count"": 3, ""mean_f1"": 0.7114095657227599, ""mean_lift_precision"": 2.0706776596070737}, ""1"": {""count"": 3, ""mean_f1"": 0.5405910961461994, ""mean_lift_precision"": 1.2660822278896122}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 12, ""2"": 10}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 14, ""min_abs_gain_f1"": 0.04631266890493683, ""min_abs_gain_prec"": 0.007042864150410067, ""min_lift_prec"": 1.1383767663012048, ""min_rel_gain_f1"": 0.0634562389685837, ""min_support"": 12, ""rng_seed"": 8535, ""sample_limit_per_r"": 1400, ""union_max_pairs_per_bucket"": 161}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,227,0.106233,0.612398,1.566427,6,"{""0"": {""count"": 2, ""mean_f1"": 0.6560209424078953, ""mean_lift_precision"": 1.6754591783360482}, ""1"": {""count"": 2, ""mean_f1"": 0.5392817059479134, ""mean_lift_precision"": 1.2878235579505035}, ""2"": {""count"": 2, ""mean_f1"": 0.6418927064491808, ""mean_lift_precision"": 1.735999679075738}}","{""1"": 6, ""2"": 0, ""3"": 0}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 1, ""max_rules_per_dim"": 13, ""min_abs_gain_f1"": 0.028459637073604955, ""min_abs_gain_prec"": 0.013908251370318231, ""min_lift_prec"": 1.1216869514450023, ""min_rel_gain_f1"": 0.028352857969580165, ""min_support"": 15, ""rng_seed"": 31, ""sample_limit_per_r"": 1400, ""union_max_pairs_per_bucket"": 128}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,228,0.072518,0.635109,1.678417,22,"{""0"": {""count"": 3, ""mean_f1"": 0.7114095657227599, ""mean_lift_precision"": 2.0706776596070737}, ""1"": {""count"": 3, ""mean_f1"": 0.5405910961461994, ""mean_lift_precision"": 1.2660822278896122}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 12, ""2"": 10}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 12, ""min_abs_gain_f1"": 0.018155643356867385, ""min_abs_gain_prec"": 0.005528639293934024, ""min_lift_prec"": 1.3522280576118455, ""min_rel_gain_f1"": 0.07172354885152546, ""min_support"": 15, ""rng_seed"": 3995, ""sample_limit_per_r"": 1400, ""union_max_pairs_per_bucket"": 65}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,229,0.073950,0.623743,1.550964,9,"{""0"": {""count"": 3, ""mean_f1"": 0.6746945898773532, ""mean_lift_precision"": 1.731800995322284}, ""1"": {""count"": 1, ""mean_f1"": 0.5432098765427711, ""mean_lift_precision"": 1.2225995677678296}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 9, ""2"": 0}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 9, ""min_abs_gain_f1"": 0.01825838014148213, ""min_abs_gain_prec"": 0.03174989205338412, ""min_lift_prec"": 1.0438801138230756, ""min_rel_gain_f1"": 0.076796883554171, ""min_support"": 7, ""rng_seed"": 5306, ""sample_limit_per_r"": 500, ""union_max_pairs_per_bucket"": 75}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,230,0.140198,0.682684,1.771488,6,"{""0"": {""count"": 2, ""mean_f1"": 0.7120418848162687, ""mean_lift_precision"": 1.8444846292947557}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 6, ""2"": 0, ""3"": 0}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 6, ""min_abs_gain_f1"": 0.0014000064516535183, ""min_abs_gain_prec"": 0.011153685033961297, ""min_lift_prec"": 1.0891789060619268, ""min_rel_gain_f1"": 0.025322886672650678, ""min_support"": 6, ""rng_seed"": 4498, ""sample_limit_per_r"": 1400, ""union_max_pairs_per_bucket"": 102}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,231,0.073878,0.622870,1.565458,12,"{""0"": {""count"": 3, ""mean_f1"": 0.6746945898773532, ""mean_lift_precision"": 1.731800995322284}, ""1"": {""count"": 3, ""mean_f1"": 0.5405910961461994, ""mean_lift_precision"": 1.2660822278896122}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 12, ""2"": 0}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 14, ""min_abs_gain_f1"": 0.04903607412038194, ""min_abs_gain_prec"": 0.03837909550104887, ""min_lift_prec"": 1.323985200793068, ""min_rel_gain_f1"": 0.055313180719430526, ""min_support"": 7, ""rng_seed"": 4227, ""sample_limit_per_r"": 1100, ""union_max_pairs_per_bucket"": 176}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,232,0.072732,0.623743,1.550964,10,"{""0"": {""count"": 3, ""mean_f1"": 0.6746945898773532, ""mean_lift_precision"": 1.731800995322284}, ""1"": {""count"": 2, ""mean_f1"": 0.5432098765427711, ""mean_lift_precision"": 1.2225995677678296}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 10, ""2"": 0}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 10, ""min_abs_gain_f1"": 0.026732568887678245, ""min_abs_gain_prec"": 0.014398099162641549, ""min_lift_prec"": 1.3908464652403725, ""min_rel_gain_f1"": 0.06732368547987842, ""min_support"": 8, ""rng_seed"": 2503, ""sample_limit_per_r"": 1100, ""union_max_pairs_per_bucket"": 166}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,233,0.289509,0.631850,1.691035,20,"{""0"": {""count"": 3, ""mean_f1"": 0.7114095657227599, ""mean_lift_precision"": 2.0706776596070737}, ""1"": {""count"": 3, ""mean_f1"": 0.5308146164901951, ""mean_lift_precision"": 1.3039358678178663}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 10, ""2"": 10, ""3"": 0}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 3, ""max_rules_per_dim"": 10, ""min_abs_gain_f1"": 0.008002165802276024, ""min_abs_gain_prec"": 0.03148543886072671, ""min_lift_prec"": 1.1715558234597259, ""min_rel_gain_f1"": 0.05688781916827684, ""min_support"": 14, ""rng_seed"": 7421, ""sample_limit_per_r"": 1100, ""union_max_pairs_per_bucket"": 109}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,234,0.075014,0.622870,1.565458,11,"{""0"": {""count"": 3, ""mean_f1"": 0.6746945898773532, ""mean_lift_precision"": 1.731800995322284}, ""1"": {""count"": 3, ""mean_f1"": 0.5405910961461994, ""mean_lift_precision"": 1.2660822278896122}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 11, ""2"": 0}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 11, ""min_abs_gain_f1"": 0.005610762124018393, ""min_abs_gain_prec"": 0.04771441396933686, ""min_lift_prec"": 1.1342136155634617, ""min_rel_gain_f1"": 0.005587402889887079, ""min_support"": 13, ""rng_seed"": 1686, ""sample_limit_per_r"": 1700, ""union_max_pairs_per_bucket"": 81}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,235,0.144804,0.664010,1.715146,8,"{""0"": {""count"": 3, ""mean_f1"": 0.6746945898773532, ""mean_lift_precision"": 1.731800995322284}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 8, ""2"": 0, ""3"": 0}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 8, ""min_abs_gain_f1"": 0.03174612291655006, ""min_abs_gain_prec"": 0.027037754262032816, ""min_lift_prec"": 1.1505547852699858, ""min_rel_gain_f1"": 0.03136636222302885, ""min_support"": 13, ""rng_seed"": 1, ""sample_limit_per_r"": 1400, ""union_max_pairs_per_bucket"": 162}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,236,0.215010,0.635109,1.678417,22,"{""0"": {""count"": 3, ""mean_f1"": 0.7114095657227599, ""mean_lift_precision"": 2.0706776596070737}, ""1"": {""count"": 3, ""mean_f1"": 0.5405910961461994, ""mean_lift_precision"": 1.2660822278896122}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 12, ""2"": 10, ""3"": 0}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 3, ""max_rules_per_dim"": 13, ""min_abs_gain_f1"": 0.03083041599028265, ""min_abs_gain_prec"": 0.031874978527637966, ""min_lift_prec"": 1.039763695105858, ""min_rel_gain_f1"": 0.004529035737594638, ""min_support"": 15, ""rng_seed"": 3277, ""sample_limit_per_r"": 800, ""union_max_pairs_per_bucket"": 57}"
wide_classification,Clasificación ancha inspirada en stress tests,240,7,237,0.075639,0.631850,1.691035,20,"{""0"": {""count"": 3, ""mean_f1"": 0.7114095657227599, ""mean_lift_precision"": 2.0706776596070737}, ""1"": {""count"": 3, ""mean_f1"": 0.5308146164901951, ""mean_lift_precision"": 1.3039358678178663}, ""2"": {""count"": 3, ""mean_f1"": 0.6533252963627872, ""mean_lift_precision"": 1.6984916559691914}}","{""1"": 10, ""2"": 10}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 10, ""min_abs_gain_f1"": 0.02209038256905755, ""min_abs_gain_prec"": 0.021571657306474503, ""min_lift_prec"": 1.348784490670918, ""min_rel_gain_f1"": 0.036032758056120384, ""min_support"": 6, ""rng_seed"": 9059, ""sample_limit_per_r"": 800, ""union_max_pairs_per_bucket"": 59}"
