variant,seed,n_samples,n_features,n_informative,class_sep,n_classes,runtime_s,precision_mean,recall_mean,f1_mean
find_comb_dim_spaces_hessian_rank,1,300,8,4,0.6,3,9.121913467000013,0.4939211684861691,0.7532683268326834,0.5678880068344
find_comb_dim_spaces_hessian_filter,1,300,8,4,0.6,3,5.399723985000037,0.39211916412969006,0.7578221155448879,0.5140512214381784
find_comb_dim_spaces,1,300,8,4,1.0,2,2.2318551439998373,0.8925398808433475,0.8285790479576869,0.8462206220668869
find_comb_dim_spaces_hessian_seed,1,300,8,4,1.0,2,3.00017700699982,0.8925398808433475,0.8285790479576869,0.8462206220668869
find_comb_dim_spaces_hessian_rank,1,300,8,4,1.0,2,2.062393180000072,0.8926174503326816,0.8326058935952709,0.849425750272015
find_comb_dim_spaces_hessian_filter,1,300,8,4,1.0,2,0.7438640750001468,0.8926174503326816,0.8326058935952709,0.849425750272015
find_comb_dim_spaces,1,300,8,4,1.0,3,12.322824083999876,0.5437335552980956,0.7924189085575224,0.6216701281587738
find_comb_dim_spaces_hessian_seed,1,300,8,4,1.0,3,13.97542299099996,0.5380077930598826,0.7948326832683268,0.627690995228568
find_comb_dim_spaces_hessian_rank,1,300,8,4,1.0,3,13.40160766300005,0.5437335552980956,0.7924189085575224,0.6216701281587738
find_comb_dim_spaces_hessian_filter,1,300,8,4,1.0,3,6.113626661000126,0.40208788943836166,0.7847581424809148,0.5291696069046791
find_comb_dim_spaces,1,300,12,6,0.6,2,2.624667529999897,0.620835962433576,0.8033333333333333,0.691910228884808
find_comb_dim_spaces_hessian_seed,1,300,12,6,0.6,2,3.091485007999836,0.6153265213394742,0.8186666666666665,0.6940029307019067
find_comb_dim_spaces_hessian_rank,1,300,12,6,0.6,2,2.4771886740004447,0.620835962433576,0.8033333333333333,0.691910228884808
find_comb_dim_spaces_hessian_filter,1,300,12,6,0.6,2,2.2251959989998795,0.54450154788435,0.7486666666666666,0.6279841988360878
find_comb_dim_spaces,1,300,12,6,0.6,3,13.806884845999775,0.4377496930553716,0.8004060406040604,0.5567278610327138
find_comb_dim_spaces_hessian_seed,1,300,12,6,0.6,3,15.099718696999844,0.4194497428809819,0.8215347534753475,0.5516780255200795
find_comb_dim_spaces_hessian_rank,1,300,12,6,0.6,3,17.146170225000333,0.43623539394613575,0.7917393739373938,0.5531361297665639
find_comb_dim_spaces_hessian_filter,1,300,12,6,0.6,3,11.596962860000076,0.3917758270429007,0.8256629662966297,0.529943328064786
find_comb_dim_spaces,1,300,12,6,1.0,2,3.8853952300000856,0.7684261887003652,0.8066666666666666,0.7832867999101953
find_comb_dim_spaces_hessian_seed,1,300,12,6,1.0,2,4.622739282999646,0.7858568181479522,0.7773333333333333,0.7731552700230915
find_comb_dim_spaces_hessian_rank,1,300,12,6,1.0,2,3.0882322860002205,0.7734041555066102,0.7933333333333332,0.7777880281457334
find_comb_dim_spaces_hessian_filter,1,300,12,6,1.0,2,2.366354119999869,0.5543929970634006,0.722,0.6214184331804471
find_comb_dim_spaces,1,300,12,6,1.0,3,15.055475943000147,0.5255698497920293,0.808015068173484,0.6262688455903558
find_comb_dim_spaces_hessian_seed,1,300,12,6,1.0,3,16.298018213999967,0.5270146390197964,0.8146150615061506,0.6287026520427728
find_comb_dim_spaces_hessian_rank,1,300,12,6,1.0,3,15.913877476999915,0.5051862627691445,0.8353484015068174,0.6244800599006414
find_comb_dim_spaces_hessian_filter,1,300,12,6,1.0,3,10.812049892000232,0.4383657098468092,0.817868386838684,0.5655680562598256
find_comb_dim_spaces,1,600,8,4,0.6,2,2.123935860999609,0.5695427724464917,0.7839042656029512,0.6577297837874392
find_comb_dim_spaces_hessian_seed,1,600,8,4,0.6,2,2.546856987999945,0.5696625193423847,0.7991666574073045,0.6638031702268032
find_comb_dim_spaces_hessian_rank,1,600,8,4,0.6,2,2.0929123330001858,0.5695427724464917,0.7839042656029512,0.6577297837874392
find_comb_dim_spaces_hessian_filter,1,600,8,4,0.6,2,1.4148512860001574,0.5236459439269906,0.73906487849865,0.6111610688983768
find_comb_dim_spaces,1,600,8,4,0.6,3,10.85698772700016,0.47206463458380094,0.648253681089502,0.5358183460088906
find_comb_dim_spaces_hessian_seed,1,600,8,4,0.6,3,12.318760929999826,0.47260317201448493,0.6513292125232423,0.5359936785827605
find_comb_dim_spaces_hessian_rank,1,600,8,4,0.6,3,7.5147743550001,0.44041970355105003,0.7062967988341121,0.5326680605170786
find_comb_dim_spaces_hessian_filter,1,600,8,4,0.6,3,5.3391727460002585,0.37188705639479974,0.7237047087793357,0.47672067179243194
find_comb_dim_spaces,1,600,8,4,1.0,2,2.368790269999863,0.6493261765062248,0.7704018933543705,0.6969980800060411
find_comb_dim_spaces_hessian_seed,1,600,8,4,1.0,2,2.858232510999642,0.645634262122784,0.7822820253558372,0.6999874609807142
find_comb_dim_spaces_hessian_rank,1,600,8,4,1.0,2,2.4990995180000937,0.6493261765062248,0.7704018933543705,0.6969980800060411
find_comb_dim_spaces_hessian_filter,1,600,8,4,1.0,2,1.34663165999973,0.5891315286141665,0.7003022255802842,0.6342379104005935
find_comb_dim_spaces,1,600,8,4,1.0,3,11.043669064999904,0.5238940972771926,0.6361626212372482,0.565384717924743
find_comb_dim_spaces_hessian_seed,1,600,8,4,1.0,3,11.554714235999654,0.527416542358377,0.6331323182069452,0.5672202134718308
find_comb_dim_spaces_hessian_rank,1,600,8,4,1.0,3,9.881120445000306,0.4967901657844716,0.6670083923815269,0.560304552831171
find_comb_dim_spaces_hessian_filter,1,600,8,4,1.0,3,4.77856167300024,0.39953227462214713,0.6504397205889743,0.4684570237060022
find_comb_dim_spaces,1,600,12,6,0.6,2,3.0393167600000197,0.7123353194606667,0.7272725252502805,0.7076566826798124
find_comb_dim_spaces_hessian_seed,1,600,12,6,0.6,2,3.858797601000333,0.653091851186666,0.7997788864320715,0.7049806096154037
find_comb_dim_spaces_hessian_rank,1,600,12,6,0.6,2,1.9879761930001223,0.6955964768319224,0.7413193479927556,0.7041985413827206
find_comb_dim_spaces_hessian_filter,1,600,12,6,0.6,2,1.4528944820003744,0.5292875376522279,0.7172657473971934,0.6064009735216398
find_comb_dim_spaces,1,600,12,6,0.6,3,18.268869735999942,0.4417529286264401,0.7221979799494986,0.5428311567472068
find_comb_dim_spaces_hessian_seed,1,600,12,6,0.6,3,15.948046796999733,0.442910273891168,0.7182381809545239,0.5446407373161581
find_comb_dim_spaces_hessian_rank,1,600,12,6,0.6,3,14.469658723000066,0.4417529286264401,0.7221979799494986,0.5428311567472068
find_comb_dim_spaces_hessian_filter,1,600,12,6,0.6,3,11.854822124999828,0.39719543713249916,0.59961324866455,0.44667127812310575
find_comb_dim_spaces,1,600,12,6,1.0,2,2.9213886400002593,0.9375136913169536,0.8406126734741497,0.8790192988391464
find_comb_dim_spaces_hessian_seed,1,600,12,6,1.0,2,3.5881316830000287,0.9146564438523763,0.8426193624373605,0.8673833185688048
find_comb_dim_spaces_hessian_rank,1,600,12,6,1.0,2,3.795447712999703,0.9375136913169536,0.8406126734741497,0.8790192988391464
find_comb_dim_spaces_hessian_filter,1,600,12,6,1.0,2,1.3460561560000315,0.5383553090066255,0.7061645129390328,0.6048981332959064
find_comb_dim_spaces,1,600,12,6,1.0,3,20.989968107000095,0.529548902316733,0.7638155787228016,0.6141492297595647
find_comb_dim_spaces_hessian_seed,1,600,12,6,1.0,3,22.779474375000063,0.5155127181555544,0.770932598314958,0.6132077929629886
find_comb_dim_spaces_hessian_rank,1,600,12,6,1.0,3,21.223436070999924,0.509730373185883,0.7825760477345267,0.6119950372186197
find_comb_dim_spaces_hessian_filter,1,600,12,6,1.0,3,14.41819139800009,0.44107020578820094,0.6239422652232972,0.4768849546731882
