variant,seed,n_samples,n_features,n_informative,class_sep,n_classes,runtime_s,precision_mean,recall_mean,f1_mean
find_comb_dim_spaces,0,300,8,4,0.6,2,2.050106714999856,0.5776379872762742,0.7203413940256046,0.6336110855922046
find_comb_dim_spaces_hessian_seed,0,300,8,4,0.6,2,2.677138658000331,0.5640917687888792,0.7459992887624466,0.6381154754636895
find_comb_dim_spaces_hessian_rank,0,300,8,4,0.6,2,1.1196754299999157,0.5776379872762742,0.7203413940256046,0.6336110855922046
find_comb_dim_spaces_hessian_filter,0,300,8,4,0.6,2,1.488242517999879,0.573156546760977,0.7068278805120911,0.6245846058450937
find_comb_dim_spaces,0,300,8,4,0.6,3,9.899068815999726,0.5264081400003525,0.7373333333333335,0.5994638160927654
find_comb_dim_spaces_hessian_seed,0,300,8,4,0.6,3,10.875139776000196,0.5289271609811118,0.7406666666666667,0.6044366416181218
find_comb_dim_spaces_hessian_rank,0,300,8,4,0.6,3,11.800923551999858,0.5264081400003525,0.7373333333333335,0.5994638160927654
find_comb_dim_spaces_hessian_filter,0,300,8,4,0.6,3,5.914509885999905,0.36482613162567795,0.748,0.48773716784886106
find_comb_dim_spaces,0,300,8,4,1.0,2,1.9184094759998516,0.6599210643973716,0.750213371266003,0.6854829027400947
find_comb_dim_spaces_hessian_seed,0,300,8,4,1.0,2,2.4839825320000273,0.6172997128121306,0.7971728307254623,0.6855813197873091
find_comb_dim_spaces_hessian_rank,0,300,8,4,1.0,2,1.3103336309995939,0.6599210643973716,0.750213371266003,0.6854829027400947
find_comb_dim_spaces_hessian_filter,0,300,8,4,1.0,2,1.1491769389999718,0.6821920679300864,0.6394025604551921,0.6499218647170457
find_comb_dim_spaces,0,300,8,4,1.0,3,12.267681058000107,0.6493373350821775,0.7746666666666667,0.6897136668989963
find_comb_dim_spaces_hessian_seed,0,300,8,4,1.0,3,13.096502004000286,0.6501574693575474,0.7853333333333334,0.6950697059681358
find_comb_dim_spaces_hessian_rank,0,300,8,4,1.0,3,8.741472413999873,0.6493373350821775,0.7746666666666667,0.6897136668989963
find_comb_dim_spaces_hessian_filter,0,300,8,4,1.0,3,6.137777144999745,0.6536730681659514,0.6166666666666668,0.616455434874402
find_comb_dim_spaces,0,300,12,6,0.6,2,2.7850249709999844,0.5701435359446263,0.7706666666666667,0.6524212930566778
find_comb_dim_spaces_hessian_seed,0,300,12,6,0.6,2,2.985142173999975,0.5660134051953521,0.7853333333333333,0.6551559701824186
find_comb_dim_spaces_hessian_rank,0,300,12,6,0.6,2,2.5999392670000816,0.5701435359446262,0.7706666666666666,0.652421293056678
find_comb_dim_spaces_hessian_filter,0,300,12,6,0.6,2,2.06656332700004,0.5253372752568974,0.704,0.590585793462837
find_comb_dim_spaces,0,300,12,6,0.6,3,13.832734569999957,0.42452385644008994,0.7292731233907704,0.5207716921121804
find_comb_dim_spaces_hessian_seed,0,300,12,6,0.6,3,14.563505655999961,0.42934962175343405,0.7688057040998219,0.5311258458758467
find_comb_dim_spaces_hessian_rank,0,300,12,6,0.6,3,9.15027757100006,0.42452385644008994,0.7292731233907704,0.5207716921121803
find_comb_dim_spaces_hessian_filter,0,300,12,6,0.6,3,9.953911098999924,0.3843640906944721,0.7126955832838184,0.4926258677483031
find_comb_dim_spaces,0,300,12,6,1.0,2,3.6715775299999223,0.62365588173496,0.8006666666666667,0.696748320913722
find_comb_dim_spaces_hessian_seed,0,300,12,6,1.0,2,3.8788740979998693,0.6099261611092626,0.8213333333333332,0.6971637015740473
find_comb_dim_spaces_hessian_rank,0,300,12,6,1.0,2,2.759429473000182,0.62365588173496,0.8006666666666667,0.696748320913722
find_comb_dim_spaces_hessian_filter,0,300,12,6,1.0,2,2.033316202000151,0.5286944303505284,0.7206666666666666,0.6065773327877096
find_comb_dim_spaces,0,300,12,6,1.0,3,15.903216173000146,0.49906809376229155,0.7513170924935632,0.57695124702531
find_comb_dim_spaces_hessian_seed,0,300,12,6,1.0,3,17.05583988599983,0.4972552462403554,0.7611012081600318,0.5820487722002483
find_comb_dim_spaces_hessian_rank,0,300,12,6,1.0,3,10.358846001000074,0.49906809376229155,0.7513170924935632,0.57695124702531
find_comb_dim_spaces_hessian_filter,0,300,12,6,1.0,3,10.830449563000002,0.41745369106289976,0.7650227767874827,0.5356012224845166
find_comb_dim_spaces,0,600,8,4,0.6,2,1.9136222300003283,0.5818577900965546,0.7465420685363793,0.6495055219451178
find_comb_dim_spaces_hessian_seed,0,600,8,4,0.6,2,2.3773147330002757,0.5780543584036644,0.77651673407707,0.6595633395004101
find_comb_dim_spaces_hessian_rank,0,600,8,4,0.6,2,1.5468913609997799,0.5845781712964679,0.7405018000800034,0.6472988213113254
find_comb_dim_spaces_hessian_filter,0,600,8,4,0.6,2,1.7400764369999706,0.575597622255099,0.7580092448553268,0.6511937394011154
find_comb_dim_spaces,0,600,8,4,0.6,3,7.1074950580000404,0.5064045461197971,0.7262747957251201,0.5747545665680224
find_comb_dim_spaces_hessian_seed,0,600,8,4,0.6,3,7.833949432000281,0.5324928824557945,0.6863659226854858,0.5778651385906209
find_comb_dim_spaces_hessian_rank,0,600,8,4,0.6,3,7.653759110999999,0.5064045461197971,0.7262747957251201,0.5747545665680224
find_comb_dim_spaces_hessian_filter,0,600,8,4,0.6,3,6.15241622800022,0.3698802499910656,0.6989011072384239,0.47520315101808647
find_comb_dim_spaces,0,600,8,4,1.0,2,2.1380017460001,0.6270330979689034,0.7857615894039734,0.6913112688120137
find_comb_dim_spaces_hessian_seed,0,600,8,4,1.0,2,2.20634266199977,0.6223352310475408,0.8009933774834437,0.6939724774272374
find_comb_dim_spaces_hessian_rank,0,600,8,4,1.0,2,2.2136355590000676,0.6270330979689034,0.7857615894039734,0.6913112688120137
find_comb_dim_spaces_hessian_filter,0,600,8,4,1.0,2,1.3163744160001443,0.5467247645732062,0.6907018089692876,0.6064804883439964
find_comb_dim_spaces,0,600,8,4,1.0,3,11.266353643999992,0.5983231648141109,0.7527615679339816,0.6573945533225449
find_comb_dim_spaces_hessian_seed,0,600,8,4,1.0,3,12.046895229999791,0.6008832855098413,0.7528618659516577,0.6593225439115066
find_comb_dim_spaces_hessian_rank,0,600,8,4,1.0,3,13.298199330999978,0.5983231648141109,0.7527615679339816,0.6573945533225449
find_comb_dim_spaces_hessian_filter,0,600,8,4,1.0,3,5.509124621999945,0.43669418179106273,0.6701693602478854,0.5109661587646748
find_comb_dim_spaces,0,600,12,6,0.6,2,3.709468368999751,0.5806681630469207,0.7748388817280769,0.6593283310435698
find_comb_dim_spaces_hessian_seed,0,600,12,6,0.6,2,4.433070674999726,0.5779957571296361,0.7848971065380683,0.6610206329575566
find_comb_dim_spaces_hessian_rank,0,600,12,6,0.6,2,2.9019662519999656,0.5806681630469207,0.7748388817280769,0.6593283310435698
find_comb_dim_spaces_hessian_filter,0,600,12,6,0.6,2,2.154599246000089,0.5286615136312685,0.7051424507755899,0.597955703292319
find_comb_dim_spaces,0,600,12,6,0.6,3,11.26106035299972,0.4142975935789715,0.8300053751343786,0.5508309889435066
find_comb_dim_spaces_hessian_seed,0,600,12,6,0.6,3,12.05587087899994,0.4147945485876715,0.8276703834262523,0.5508983069652839
find_comb_dim_spaces_hessian_rank,0,600,12,6,0.6,3,12.919708807999996,0.4142975935789715,0.8300053751343784,0.5508309889435066
find_comb_dim_spaces_hessian_filter,0,600,12,6,0.6,3,6.825783560000218,0.39438452091182613,0.7294829870746768,0.4990132895120272
find_comb_dim_spaces,0,600,12,6,1.0,2,3.813412156999675,0.6229165302210488,0.8201964531756968,0.7054407549598981
find_comb_dim_spaces_hessian_seed,0,600,12,6,1.0,2,4.069177415000013,0.6326882952939427,0.8183141472954352,0.7100511577758876
find_comb_dim_spaces_hessian_rank,0,600,12,6,1.0,2,2.8356287850001536,0.6229165302210488,0.8201964531756968,0.7054407549598981
find_comb_dim_spaces_hessian_filter,0,600,12,6,1.0,2,1.7568353479996404,0.5484456487122109,0.7322947686563847,0.620770761616887
find_comb_dim_spaces,0,600,12,6,1.0,3,12.51715577699997,0.4822648959231953,0.7850842854404694,0.5917490231319212
find_comb_dim_spaces_hessian_seed,0,600,12,6,1.0,3,13.481295409999802,0.4748276704196364,0.798126278156954,0.5925905984070007
find_comb_dim_spaces_hessian_rank,0,600,12,6,1.0,3,12.53430441599994,0.4822648959231954,0.7850842854404695,0.5917490231319211
find_comb_dim_spaces_hessian_filter,0,600,12,6,1.0,3,7.560668116000215,0.46920765782376334,0.786750952107136,0.5815186462435614
find_comb_dim_spaces,1,300,8,4,0.6,2,1.850572985999861,0.7885071725516448,0.7716831859193742,0.7628537293293258
find_comb_dim_spaces_hessian_seed,1,300,8,4,0.6,2,2.3028222550001374,0.7885071725516448,0.7716831859193742,0.7628537293293258
find_comb_dim_spaces_hessian_rank,1,300,8,4,0.6,2,1.6104017170000589,0.7885071725516448,0.7716831859193742,0.7628537293293258
find_comb_dim_spaces_hessian_filter,1,300,8,4,0.6,2,1.300096360000225,0.8470622610379663,0.7092670785368239,0.762481466520303
find_comb_dim_spaces,1,300,8,4,0.6,3,12.068926003999877,0.4964852710502717,0.753928392839284,0.5694993154097973
find_comb_dim_spaces_hessian_seed,1,300,8,4,0.6,3,13.53416709799967,0.4929297154947161,0.7742906290629062,0.5743139550704756
