dim_k,target_class,region_id,dims,is_pareto,f1,precision,recall,lift_precision,support,min_lift_precision_all_classes,min_precision_all_classes,compass_score
1,0,rg_1d_c0_a9ea067780,"(2,)",False,0.22323089515569122,0.1256386632046235,1.0,1.005109305636988,11939,0.998296898121004,0.1256386632046235,0.6073081445462308
1,0,rg_1d_c0_0626725e1a,"(2,)",False,0.22240343983967184,0.12511468846442572,1.0,1.0009175077154058,11989,0.9996941640948647,0.12511468846442572,0.6059949163475506
1,0,rg_1d_c0_6ac650d881,"(0,)",True,0.2222386843467911,0.12501041753479455,1.0,1.0000833402783564,11999,0.9999722199072144,0.12501041753479455,0.6057330380712391
1,0,rg_1d_c0_1e5a8987f8,"(0,)",False,0.22222222222202467,0.125,1.0,1.0,12000,1.0,0.125,0.6057068642772003
1,2,rg_1d_c2_14725118bc,"(0,)",False,0.22222222222202467,0.125,1.0,1.0,12000,1.0,0.125,0.6057068642772003
1,0,rg_1d_c0_4f9e386989,"(0,)",True,0.2222551489107522,0.12502083680613435,1.0,1.0001666944490748,11998,0.9994999166527755,0.12493748958159694,0.6056694390586228
1,0,rg_1d_c0_dfbbd9f71b,"(0,)",True,0.2222386843467911,0.12501041753479455,1.0,1.0000833402783564,11999,0.9994166180515043,0.12492707725643803,0.6056208320376126
4,2,rg_4d_c2_3070c3cb27,"(0, 1, 2, 3)",True,0.6638599601147789,0.49717889147029537,0.9986666666666667,3.977431131762363,3013,0.039827414537006306,0.004978426817125788,0.4720127748965566
3,0,rg_3d_c0_f134d17e28,"(1, 2, 3)",True,0.5839215686270357,0.4136111111111111,0.9926666666666667,3.3088888888888888,3600,0.051111111111111114,0.006388888888888889,0.46222206611507405
1,2,rg_1d_c2_6ce2483d5b,"(1,)",True,0.3951007506911092,0.24618414574101427,1.0,1.9694731659281142,6093,0.1194813720663056,0.0149351715082882,0.4530220851042464
3,2,rg_3d_c2_1c358cce7c,"(0, 1, 3)",True,0.6619531595223141,0.4950429610046266,0.9986666666666667,3.9603436880370126,3026,0.034368803701255786,0.004296100462656973,0.44830630883684097
3,2,rg_3d_c2_ce3a6623e7,"(0, 1, 3)",True,0.6615146831525709,0.4945526576427864,0.9986666666666667,3.956421261142291,3029,0.034334763948497854,0.004291845493562232,0.4479113083085047
2,0,rg_2d_c0_40f2bd01f4,"(1, 3)",True,0.4114175929734619,0.2590288577846898,0.9993333333333333,2.0722308622775185,5787,0.10506307240366339,0.013132884050457923,0.4474285553767226
3,2,rg_3d_c2_121ab1d7ae,"(0, 1, 3)",False,0.65169039145863,0.48898531375166887,0.9766666666666667,3.911882510013351,2996,0.03471295060080107,0.0043391188251001335,0.4456284234344911
2,0,rg_2d_c0_7b110adb1c,"(1, 2)",True,0.4156384306110666,0.26238403640819186,0.9993333333333333,2.099072291265535,5713,0.09382110974969368,0.01172763871871171,0.4341914020822336
2,0,rg_2d_c0_7b110adb1c,"(1, 2)",True,0.4156384306110666,0.26238403640819186,0.9993333333333333,2.099072291265535,5713,0.09382110974969368,0.01172763871871171,0.4341914020822336
2,0,rg_2d_c0_76533fcac3,"(1, 2)",True,0.4140883977897267,0.2611498257839721,0.9993333333333333,2.089198606271777,5740,0.09337979094076655,0.011672473867595819,0.4322900395529383
2,0,rg_2d_c0_76533fcac3,"(1, 2)",True,0.4140883977897267,0.2611498257839721,0.9993333333333333,2.089198606271777,5740,0.09337979094076655,0.011672473867595819,0.4322900395529383
2,0,rg_2d_c0_e0f1a9909c,"(1, 2)",False,0.4102353585108943,0.2580922865013774,0.9993333333333333,2.064738292011019,5808,0.09228650137741047,0.011535812672176309,0.42757479350939764
2,0,rg_2d_c0_74068e06b9,"(1, 2)",False,0.4087252897065594,0.25689802913453297,0.9993333333333333,2.0551842330762637,5835,0.09185946872322194,0.011482433590402743,0.4257311223533835
1,0,rg_1d_c0_e45ab62f22,"(1,)",True,0.3958801003562121,0.24683023217520172,0.9993333333333333,1.9746418574016138,6073,0.09748065206652395,0.012185081508315494,0.4239586286171745
4,0,rg_4d_c0_4cf0605aad,"(0, 1, 2, 3)",True,0.8605987299662414,0.7874930824571112,0.9486666666666667,6.29994465965689,1807,0.013281682346430549,0.0016602102933038186,0.41603529365624886
4,0,rg_4d_c0_c2796cfb25,"(0, 1, 2, 3)",False,0.8582629674301439,0.7835903083700441,0.9486666666666667,6.2687224669603525,1816,0.013215859030837005,0.0016519823788546256,0.41428410553149286
3,0,rg_3d_c0_906f55258c,"(1, 2, 3)",True,0.6881412550699293,0.5358602749907098,0.9613333333333334,4.286882199925678,2691,0.020810107766629504,0.002601263470828688,0.39448560303436303
4,1,rg_4d_c1_fe8b54fced,"(0, 1, 2, 3)",True,0.6967116305086137,0.7907436150698463,0.6226666666666667,1.0543248200931283,7087,0.08014674756596585,0.010018343445745731,0.3890192849878515
4,1,rg_4d_c1_fe8b54fced,"(0, 1, 2, 3)",True,0.6967116305086137,0.7907436150698463,0.6226666666666667,1.0543248200931283,7087,0.08014674756596585,0.010018343445745731,0.3890192849878515
3,1,rg_3d_c1_28dc094fba,"(0, 1, 2)",True,0.6771533680066139,0.7889447236180904,0.5931111111111111,1.051926298157454,6766,0.0768548625480343,0.009606857818504287,0.3797063865377686
3,1,rg_3d_c1_28dc094fba,"(0, 1, 2)",True,0.6771533680066139,0.7889447236180904,0.5931111111111111,1.051926298157454,6766,0.0768548625480343,0.009606857818504287,0.3797063865377686
2,2,rg_2d_c2_083088cdfa,"(1, 3)",True,0.6542387927203726,0.490352628077179,0.9826666666666667,3.922821024617432,3006,0.021290751829673986,0.0026613439787092482,0.3794680899353572
2,0,rg_2d_c0_21e12bbcb7,"(1, 2)",True,0.6181430096046874,0.4546310832025118,0.9653333333333334,3.637048665620094,3185,0.02260596546310832,0.00282574568288854,0.3704137032128011
1,2,rg_1d_c2_bc8a302232,"(1,)",True,0.3968190854867589,0.24764267990074443,0.998,1.9811414392059554,6045,0.06352357320099256,0.00794044665012407,0.3682541510950588
2,0,rg_2d_c0_a8ec5cc6b8,"(1, 2)",True,0.6146010186752876,0.45080946450809467,0.9653333333333334,3.6064757160647574,3212,0.0224159402241594,0.002801992528019925,0.3676301171312238
3,1,rg_3d_c1_30a8b201e2,"(0, 1, 3)",True,0.6750205683179704,0.7841493897956183,0.5925555555555555,1.0455325197274912,6801,0.06587266578444347,0.008234083223055433,0.3595726054303623
2,1,rg_2d_c1_9288f1b2ad,"(1, 2)",True,0.7902467010895751,0.8169632265717675,0.7652222222222222,1.08928430209569,8430,0.05029655990510083,0.006287069988137604,0.3511403514620312
2,0,rg_2d_c0_e19dc97b6c,"(1, 2)",False,0.5765478797527167,0.4110133409026398,0.9653333333333334,3.2881067272211184,3523,0.022707919386886176,0.002838489923360772,0.35047163633867856
4,2,rg_4d_c2_2b583f7bdf,"(0, 1, 2, 3)",True,0.6642968229277937,0.498167277574142,0.9966666666666667,3.985338220593136,3001,0.01599466844385205,0.001999333555481506,0.3485519637097533
4,2,rg_4d_c2_d89933ebb1,"(0, 1, 2, 3)",False,0.6639999999995555,0.498,0.996,3.984,3000,0.016,0.002,0.3484997444123194
4,2,rg_4d_c2_716539b041,"(0, 1, 2, 3)",True,0.6635596981797599,0.49733865602129074,0.9966666666666667,3.978709248170326,3006,0.015968063872255488,0.001996007984031936,0.3480365234494565
3,2,rg_3d_c2_3e7ac60598,"(0, 1, 3)",False,0.6613545816728631,0.49502982107355864,0.996,3.960238568588469,3018,0.015904572564612324,0.0019880715705765406,0.346651091906455
3,2,rg_3d_c2_028c43a227,"(0, 1, 3)",False,0.6615044247783175,0.49503311258278143,0.9966666666666667,3.9602649006622515,3020,0.015894039735099338,0.001986754966887417,0.34660149227037573
3,2,rg_3d_c2_3dc3d7c2bf,"(0, 1, 3)",False,0.6613581066131377,0.49486924859318104,0.9966666666666667,3.9589539887454483,3021,0.015888778550148957,0.0019860973187686196,0.34649944973362334
3,2,rg_3d_c2_57a582fc2a,"(0, 1, 3)",False,0.661065664381604,0.49454184584849487,0.9966666666666667,3.956334766787959,3023,0.01587826662256037,0.0019847833278200462,0.3462955475896242
3,2,rg_3d_c2_b5feafb000,"(0, 1, 3)",False,0.6518056174761487,0.4896182183523108,0.9746666666666667,3.9169457468184863,2986,0.016075016744809108,0.0020093770931011385,0.3449364026216375
3,2,rg_3d_c2_553a6acaea,"(1, 2, 3)",False,0.6429536244930241,0.48538409245411285,0.952,3.883072739632903,2942,0.016315431679129844,0.0020394289598912306,0.34407351801694486
4,2,rg_4d_c2_bb9093470d,"(0, 1, 2, 3)",False,0.6388951777219875,0.4837161467260884,0.9406666666666667,3.8697291738087074,2917,0.0164552622557422,0.002056907781967775,0.3439312699733653
2,0,rg_2d_c0_2874c54fbb,"(1, 2)",True,0.567509308249634,0.40188731612545103,0.9653333333333334,3.2150985290036083,3603,0.022203719122953096,0.002775464890369137,0.3434506428486555
4,2,rg_4d_c2_8c716ab2e8,"(0, 1, 2, 3)",False,0.6301920500218858,0.4738079247817327,0.9406666666666667,3.790463398253862,2978,0.016118200134318333,0.0020147750167897917,0.3376711242799798
3,0,rg_3d_c0_ddc75f0d54,"(1, 2, 3)",True,0.6128689743040892,0.44967279526332193,0.962,3.5973823621065755,3209,0.017450919289498285,0.0021813649111872857,0.3375909914712217
3,2,rg_3d_c2_b9a0cf706d,"(1, 2, 3)",False,0.6242622950815264,0.46439024390243905,0.952,3.7151219512195124,3075,0.015609756097560976,0.001951219512195122,0.330810103696324
4,0,rg_4d_c0_7006812c6b,"(0, 1, 2, 3)",True,0.6642920747991989,0.49866310160427807,0.9946666666666667,3.9893048128342246,2992,0.013368983957219251,0.0016711229946524064,0.3284366129534746
4,0,rg_4d_c0_31b78c3066,"(0, 1, 2, 3)",True,0.663555555555111,0.49766666666666665,0.9953333333333333,3.981333333333333,3000,0.013333333333333334,0.0016666666666666668,0.32780445793436574
4,0,rg_4d_c0_6b79432732,"(0, 1, 2, 3)",False,0.6634081315258831,0.49750083305564813,0.9953333333333333,3.980006664445185,3001,0.013328890369876709,0.0016661112962345886,0.32770735990676414
4,0,rg_4d_c0_8cb7c38761,"(0, 1, 2, 3)",False,0.6628165259880052,0.49700199866755496,0.9946666666666667,3.9760159893404396,3002,0.013324450366422385,0.0016655562958027982,0.32746401668603453
4,0,rg_4d_c0_ce33f24704,"(0, 1, 2, 3)",False,0.6613510520482827,0.49519071310116086,0.9953333333333333,3.961525704809287,3015,0.013266998341625208,0.001658374792703151,0.32635409560511913
4,0,rg_4d_c0_11501c4261,"(0, 1, 2, 3)",False,0.6606194690261051,0.4943708609271523,0.9953333333333333,3.9549668874172186,3020,0.013245033112582781,0.0016556291390728477,0.3258735333542786
2,0,rg_2d_c0_271cee36a9,"(1, 2)",True,0.4159106769012739,0.26301853486319504,0.9933333333333333,2.1041482789055603,5665,0.03954104148278906,0.004942630185348632,0.32586784223119003
2,0,rg_2d_c0_271cee36a9,"(1, 2)",True,0.4159106769012739,0.26301853486319504,0.9933333333333333,2.1041482789055603,5665,0.03954104148278906,0.004942630185348632,0.32586784223119003
4,0,rg_4d_c0_54ce6ff47b,"(0, 1, 2, 3)",False,0.6604733466042901,0.49420721615359153,0.9953333333333333,3.9536577292287323,3021,0.013240648791790799,0.0016550810989738498,0.32577759331147577
4,0,rg_4d_c0_006ef6d9c1,"(0, 1, 2, 3)",False,0.6584343991175284,0.4919275123558484,0.9953333333333333,3.9354200988467873,3035,0.013179571663920923,0.0016474464579901153,0.324440430557577
2,0,rg_2d_c0_6ea14a0281,"(1, 2)",True,0.4143492769740858,0.2617709065354884,0.9933333333333333,2.094167252283907,5692,0.03935347856640899,0.004919184820801124,0.32442951607919096
2,0,rg_2d_c0_6ea14a0281,"(1, 2)",True,0.4143492769740858,0.2617709065354884,0.9933333333333333,2.094167252283907,5692,0.03935347856640899,0.004919184820801124,0.32442951607919096
2,0,rg_2d_c0_2a01502802,"(1, 2)",False,0.41046831955890073,0.2586805555555556,0.9933333333333333,2.0694444444444446,5760,0.03888888888888889,0.004861111111111111,0.32086300764364256
2,0,rg_2d_c0_285da0b2d7,"(1, 2)",False,0.40894744064740185,0.25747364783134613,0.9933333333333333,2.059789182650769,5787,0.038707447727665455,0.004838430965958182,0.31946866568471327
3,0,rg_3d_c0_58e6ce168b,"(0, 1, 3)",True,0.6154163231652777,0.4454057279236277,0.9953333333333333,3.5632458233890216,3352,0.014319809069212411,0.0017899761336515514,0.31548884474401656
3,0,rg_3d_c0_e3a4e59a5b,"(0, 1, 2)",True,0.7146426786602008,0.5715427657873701,0.9533333333333334,4.5723421262989605,2502,0.009592326139088728,0.001199040767386091,0.3152950854772702
3,0,rg_3d_c0_59f2f988b7,"(0, 1, 2)",True,0.6278629964273893,0.4584228290886775,0.996,3.66738263270942,3259,0.0122737035900583,0.0015342129487572874,0.3046016473325845
1,0,rg_1d_c0_ac0bb0e36d,"(1,)",True,0.39664804469241793,0.2477567298105683,0.994,1.9820538384845463,6018,0.03589232303090728,0.00448654037886341,0.3044440173860337
3,0,rg_3d_c0_db39af0b57,"(0, 1, 2)",False,0.619917012447704,0.45,0.996,3.6,3320,0.012048192771084338,0.0015060240963855422,0.2995844870027913
3,0,rg_3d_c0_f9bdac9a77,"(1, 2, 3)",False,0.6869170055006162,0.53562103692652,0.9573333333333334,4.28496829541216,2681,0.008951883625512868,0.0011189854531891085,0.2975697427650589
3,0,rg_3d_c0_0d3361fb2f,"(0, 1, 2)",False,0.614814814814388,0.4446428571428571,0.996,3.557142857142857,3360,0.011904761904761904,0.001488095238095238,0.2963844731577795
4,0,rg_4d_c0_7e410cfd27,"(0, 1, 2, 3)",False,0.6049432739055737,0.43451688009313155,0.9953333333333333,3.4761350407450524,3436,0.011641443538998836,0.0014551804423748546,0.290361730486333
4,0,rg_4d_c0_0447aa47d1,"(0, 1, 2, 3)",False,0.6048207413404723,0.43439045679371546,0.9953333333333333,3.4751236543497237,3437,0.011638056444573755,0.0014547570555717194,0.2902858049990564
4,0,rg_4d_c0_9f2e3720e4,"(0, 1, 2, 3)",True,0.8603453498934757,0.7884508606329816,0.9466666666666667,6.307606885063853,1801,0.004441976679622432,0.000555247084952804,0.2888714154751391
2,0,rg_2d_c0_a3e6cf360c,"(1, 3)",False,0.4124082537041439,0.26026918370914176,0.9926666666666667,2.082153469673134,5721,0.027967138612130748,0.0034958923265163435,0.2885112196902878
4,0,rg_4d_c0_6d3ca02c1f,"(0, 1, 2, 3)",False,0.8585247883912818,0.7853982300884956,0.9466666666666667,6.283185840707965,1808,0.004424778761061947,0.0005530973451327434,0.28792194564477624
2,2,rg_2d_c2_89b2c3f557,"(0, 1)",True,0.49841956413204935,0.33207714475726,0.9986666666666667,2.65661715805808,4511,0.017734426956328972,0.0022168033695411215,0.28636091278099396
1,0,rg_1d_c0_4fb6089fad,"(1,)",True,0.3966986155481361,0.24783765801729873,0.9933333333333333,1.9827012641383899,6012,0.02927478376580173,0.003659347970725216,0.28449232512517014
2,2,rg_2d_c2_0a579c9847,"(0, 1)",False,0.49164438502636226,0.32805530776092773,0.9806666666666667,2.624442462087422,4484,0.01784121320249777,0.0022301516503122213,0.28447067774761703
3,0,rg_3d_c0_f430e86484,"(0, 1, 2)",False,0.5942720763718964,0.42346938775510207,0.996,3.3877551020408165,3528,0.011337868480725623,0.001417233560090703,0.28366750074298314
3,0,rg_3d_c0_86ba9cce58,"(0, 1, 2)",False,0.589581689028786,0.4187219730941704,0.996,3.3497757847533634,3568,0.011210762331838564,0.0014013452914798206,0.28080076746387317
2,0,rg_2d_c0_eb1411f32c,"(1, 3)",True,0.4130766034073449,0.2607099143206854,0.994,2.0856793145654833,5719,0.02517922713761147,0.0031474033922014337,0.27889464502459166
3,2,rg_3d_c2_ed90d931a2,"(1, 2, 3)",False,0.6439684329195072,0.48654173764906306,0.952,3.8923339011925044,2935,0.008177172061328791,0.0010221465076660989,0.27366920755591995
2,0,rg_2d_c0_8e1d8b09de,"(1, 3)",False,0.4124740124736831,0.26036745406824147,0.992,2.0829396325459317,5715,0.023797025371828522,0.0029746281714785653,0.2734420593700622
4,0,rg_4d_c0_9adeebceee,"(0, 1, 2, 3)",False,0.6348640213994657,0.4768921634293369,0.9493333333333334,3.815137307434695,2986,0.008037508372404554,0.0010046885465505692,0.2690114563615513
4,0,rg_4d_c0_979053d97f,"(0, 1, 2, 3)",False,0.632186459489012,0.47387687188019967,0.9493333333333334,3.7910149750415973,3005,0.007986688851913478,0.0009983361064891847,0.2674991984363844
4,0,rg_4d_c0_979053d97f,"(0, 1, 2, 3)",False,0.632186459489012,0.47387687188019967,0.9493333333333334,3.7910149750415973,3005,0.007986688851913478,0.0009983361064891847,0.2674991984363844
3,2,rg_3d_c2_af3e549c04,"(1, 2, 3)",False,0.6279683377304285,0.468503937007874,0.952,3.748031496062992,3048,0.007874015748031496,0.000984251968503937,0.2646340678382936
3,2,rg_3d_c2_32c222120c,"(1, 2, 3)",False,0.6275543836515025,0.46804326450344147,0.952,3.7443461160275318,3051,0.007866273352999017,0.0009832841691248771,0.26440244253406814
2,2,rg_2d_c2_e4c4952647,"(1, 2)",True,0.4949844344513626,0.3341896310135451,0.954,2.6735170481083608,4282,0.013078000934142924,0.0016347501167678655,0.25866556764715387
2,0,rg_2d_c0_1ed8757704,"(1, 2)",False,0.6165703275525505,0.45411542100283825,0.96,3.632923368022706,3171,0.007568590350047304,0.000946073793755913,0.2568924175154878
2,0,rg_2d_c0_98c3514258,"(1, 2)",False,0.6130268199229368,0.450281425891182,0.96,3.602251407129456,3198,0.0075046904315197,0.0009380863039399625,0.25495415403305854
3,0,rg_3d_c0_af121cb092,"(1, 2, 3)",False,0.6116194935088226,0.4492028758987183,0.958,3.5936230071897466,3199,0.007502344482650828,0.0009377930603313535,0.25452880888566537
4,0,rg_4d_c0_783758b154,"(0, 1, 2, 3)",False,0.6086770677490835,0.4479396036489462,0.9493333333333334,3.5835168291915696,3179,0.007549543881723813,0.0009436929852154766,0.25441284467425607
3,0,rg_3d_c0_acae99042b,"(0, 1, 2)",False,0.606832166347964,0.44506691565515094,0.9533333333333334,3.5605353252412075,3213,0.007469654528478058,0.0009337068160597573,0.25271332165934796
3,0,rg_3d_c0_b9da4974f5,"(0, 1, 2)",False,0.606832166347964,0.44506691565515094,0.9533333333333334,3.5605353252412075,3213,0.007469654528478058,0.0009337068160597573,0.25271332165934796
1,2,rg_1d_c2_297b968dcf,"(1,)",False,0.3953581432569828,0.24712356178089045,0.988,1.9769884942471236,5997,0.02001000500250125,0.0025012506253126563,0.2500809876362181
4,0,rg_4d_c0_11a1f5b14d,"(0, 1, 2, 3)",False,0.6626559714790559,0.49765729585006696,0.9913333333333333,3.9812583668005357,2988,0.00535475234270415,0.0006693440428380187,0.2417404294388993
