param,value,count,avg_total_rules,avg_elapsed_s,avg_rules_per_sec,median_rules_per_sec,best_rules_per_sec,rules_per_sec_lift_vs_median
mode,base,3456,12.0,0.0017460069444444446,7002.483171825683,7058.823529411765,8000.0,2.100744951547705
clause_overlap_max,0.8,3456,10.222222222222221,0.002773640046296296,4175.866863966993,3333.3333333333335,8000.0,1.2527600591900978
max_clauses,2,3456,9.555555555555555,0.0025749421296296293,4054.3048113468967,3823.5294117647063,8000.0,1.216291443404069
max_planes,10,2592,9.62962962962963,0.0026786651234567897,4030.6582925859607,3333.3333333333335,8000.0,1.209197487775788
beam_width,48,3456,9.62962962962963,0.002709403935185185,4012.4013978081543,3333.3333333333335,8000.0,1.2037204193424462
max_planes,16,2592,9.62962962962963,0.0027249228395061728,3995.5325135190906,3333.3333333333335,8000.0,1.1986597540557271
max_rules_per_class,480,5184,9.62962962962963,0.0027204861111111115,3988.6905965230894,3333.3333333333335,8000.0,1.1966071789569268
clause_beam_width,12,5184,9.62962962962963,0.0027181520061728393,3984.989561541675,3333.3333333333335,8000.0,1.1954968684625025
max_candidates_per_class,300,5184,9.62962962962963,0.002716917438271605,3972.4586498426693,3250.0,8000.0,1.1917375949528006
beam_width,24,3456,9.62962962962963,0.0027177662037037036,3971.7595594956965,3333.3333333333335,8000.0,1.191527867848709
clause_diverse_topk,30,5184,9.62962962962963,0.0027223186728395064,3971.7181625809,3333.3333333333335,8000.0,1.1915154487742698
clause_iterations,180,5184,9.62962962962963,0.0027256944444444446,3970.4937756136737,3333.3333333333335,8000.0,1.191148132684102
clause_iterations,120,5184,9.62962962962963,0.0027253086419753085,3967.559741066323,3333.3333333333335,8000.0,1.1902679223198969
clause_diverse_topk,40,5184,9.62962962962963,0.002728684413580247,3966.3353540990947,3333.3333333333335,8000.0,1.1899006062297284
max_candidates_per_class,600,5184,9.62962962962963,0.0027340856481481482,3965.594866837326,3333.3333333333335,8000.0,1.1896784600511978
max_clauses,3,3456,9.666666666666666,0.002757696759259259,3962.7163913038266,3333.3333333333335,8000.0,1.188814917391148
clause_beam_width,16,5184,9.62962962962963,0.0027328510802469134,3953.06395513832,3333.3333333333335,8000.0,1.185919186541496
max_rules_per_class,720,5184,9.62962962962963,0.0027305169753086417,3949.3629201569056,3333.3333333333335,8000.0,1.1848088760470716
max_planes,12,2592,9.62962962962963,0.0027289737654320988,3929.842903020076,3333.3333333333335,8000.0,1.1789528709060226
beam_width,36,3456,9.62962962962963,0.0027493344907407406,3922.9193177161424,3250.0,8000.0,1.1768757953148425
max_planes,14,2592,9.62962962962963,0.0027694444444444446,3920.073324234863,3250.0,8000.0,1.1760219972704589
max_clauses,4,3456,9.666666666666666,0.00284386574074074,3890.05907236927,3095.2380952380954,8000.0,1.1670177217107809
clause_overlap_max,0.6,3456,9.333333333333334,0.002698553240740741,3870.9731217187527,3333.3333333333335,8000.0,1.1612919365156258
clause_overlap_max,0.7,3456,9.333333333333334,0.0027043113425925924,3860.240289334248,3333.3333333333335,8000.0,1.1580720868002743
mode,and_or_beam,3456,13.0,0.003959664351851851,3331.859431063757,3333.3333333333335,4193.548387096775,0.999557829319127
mode,and_or_diverse,3456,3.888888888888889,0.0024708333333333336,1572.737672130553,1363.6363636363635,2608.695652173913,0.47182130163916586
