dataset,n_samples,n_features,preset,skip_feature_stats,skip_attach_planes,candidate_sets,selected_reports,best_mean_macro_f1,avg_mean_macro_f1,baseline_f1,elapsed_seconds
df1,180,12,high_quality,False,False,39,39,0.517858592906828,0.3766856319044727,0.10176991150442478,1.4443999239999812
df1,180,12,high_quality,True,True,37,37,0.517858592906828,0.37721786947544145,0.10176991150442478,1.6605816539999978
df1,180,12,fast,False,False,39,10,0.517858592906828,0.46300768662352076,0.10176991150442478,0.5068759509999836
df1,180,12,fast,True,True,37,10,0.517858592906828,0.4572733755816209,0.10176991150442478,0.5002900590000081
df1,180,12,ultra_fast,True,False,20,20,0.13744118848686102,0.09482496428726521,0.10176991150442478,0.10172835899993515
df1,180,12,ultra_fast,True,True,20,20,0.13744118848686102,0.09482496428726521,0.10176991150442478,0.06643826399999853
df2,220,14,high_quality,False,False,46,46,0.5193535881726539,0.3661628040470896,0.10288808664259928,1.9334036220000144
df2,220,14,high_quality,True,True,40,40,0.5193535881726539,0.36316825022554244,0.10288808664259928,1.6793235979998826
df2,220,14,fast,False,False,46,10,0.5193535881726539,0.3968167856633669,0.10288808664259928,0.45054607900010524
df2,220,14,fast,True,True,40,10,0.5193535881726539,0.40848145355740073,0.10288808664259928,0.49916068899983657
df2,220,14,ultra_fast,True,False,20,20,0.1406187693822425,0.10384407593802054,0.10288808664259928,0.09887325099998634
df2,220,14,ultra_fast,True,True,20,20,0.1406187693822425,0.10384407593802054,0.10288808664259928,0.09177406999992854
df3,260,16,high_quality,False,False,44,44,0.5717259919652742,0.45863965755822955,0.10122699386503067,1.6809917919997588
df3,260,16,high_quality,True,True,43,43,0.5717259919652742,0.44694178152312586,0.10122699386503067,1.6707809419999649
df3,260,16,fast,False,False,44,10,0.5717259919652742,0.4794511662062432,0.10122699386503067,0.4548804559999553
df3,260,16,fast,True,True,43,10,0.5717259919652742,0.4919768075457469,0.10122699386503067,0.43362000899969644
df3,260,16,ultra_fast,True,False,20,20,0.1267989897706785,0.10103949102333964,0.10122699386503067,0.11438513199982481
df3,260,16,ultra_fast,True,True,20,20,0.1267989897706785,0.10103949102333964,0.10122699386503067,0.07841144100029851
