mode,ari_mean,ari_std,ari_min,ari_max,time_mean_sec,time_std_sec,time_min_sec,time_max_sec,pred_families_mean,pred_families_std,pred_families_min,pred_families_max,n_runs
connected,0.6183417802244109,0.031221330540667707,0.5823787255213454,0.6385063107935013,0.01088996999999381,0.000694408539868836,0.010097768999969503,0.011393385000019407,356.3333333333333,9.291573243177565,350,367,3
dbscan,0.6183417802244109,0.031221330540667707,0.5823787255213454,0.6385063107935013,0.06491747766667307,0.024485958623122642,0.03784694399996624,0.08552040500001112,356.3333333333333,9.291573243177565,350,367,3
greedy,0.38389034383091275,0.016354107764590974,0.36503600149551174,0.39423521435051656,2.869077839666678,0.07867222984643572,2.797663311000008,2.953409106000038,429.3333333333333,4.932882862316244,426,435,3
kmeans,0.006807061939524434,0.00019034894841019067,0.006622737177323191,0.007002911391614918,0.09797452899999826,0.029428065133790537,0.0699538679999705,0.12863247000001365,50.0,0.0,50,50,3
