run_index,params_json,class_id,rank_within_class,region_id,dims,f1,lift_precision,precision,recall,support,support_frac,pareto,cost
1,"{'max_planes_in_rule': 4, 'max_planes_per_pair': 5, 'min_support': 15, 'min_rel_gain_f1': 0.02, 'min_lift_prec': 1.05, 'consider_dims_up_to': 3, 'rng_seed': 1}",0,1,rg_1d_c0_ce88474a36,"(4,)",0.7450185748053141,2.0339579139255566,0.6761893084845513,0.829448037298842,8156,0.4078,True,1.5
1,"{'max_planes_in_rule': 4, 'max_planes_per_pair': 5, 'min_support': 15, 'min_rel_gain_f1': 0.02, 'min_lift_prec': 1.05, 'consider_dims_up_to': 3, 'rng_seed': 1}",0,2,rg_1d_c0_ce88474a36,"(4,)",0.7450185748053141,2.0339579139255566,0.6761893084845513,0.829448037298842,8156,0.4078,True,1.5
1,"{'max_planes_in_rule': 4, 'max_planes_per_pair': 5, 'min_support': 15, 'min_rel_gain_f1': 0.02, 'min_lift_prec': 1.05, 'consider_dims_up_to': 3, 'rng_seed': 1}",0,3,rg_2d_c0_711c1c300c,"(4, 19)",0.7384667285143087,2.528590164858534,0.8406298003072197,0.6584448789291623,5208,0.2604,True,3.0
1,"{'max_planes_in_rule': 4, 'max_planes_per_pair': 5, 'min_support': 15, 'min_rel_gain_f1': 0.02, 'min_lift_prec': 1.05, 'consider_dims_up_to': 3, 'rng_seed': 1}",0,4,rg_2d_c0_711c1c300c,"(4, 19)",0.7384667285143087,2.528590164858534,0.8406298003072197,0.6584448789291623,5208,0.2604,True,3.0
1,"{'max_planes_in_rule': 4, 'max_planes_per_pair': 5, 'min_support': 15, 'min_rel_gain_f1': 0.02, 'min_lift_prec': 1.05, 'consider_dims_up_to': 3, 'rng_seed': 1}",0,5,rg_1d_c0_bb8cc20e94,"(19,)",0.6357482185268379,1.5799891496392435,0.5252673927975665,0.8050834711986765,10191,0.50955,True,1.5
1,"{'max_planes_in_rule': 4, 'max_planes_per_pair': 5, 'min_support': 15, 'min_rel_gain_f1': 0.02, 'min_lift_prec': 1.05, 'consider_dims_up_to': 3, 'rng_seed': 1}",1,1,rg_1d_c1_163dcbbc77,"(4,)",0.5902117545371363,1.38346190944182,0.4612462006079027,0.8192861427714457,11844,0.5922,True,1.5
1,"{'max_planes_in_rule': 4, 'max_planes_per_pair': 5, 'min_support': 15, 'min_rel_gain_f1': 0.02, 'min_lift_prec': 1.05, 'consider_dims_up_to': 3, 'rng_seed': 1}",1,2,rg_1d_c1_163dcbbc77,"(4,)",0.5902117545371363,1.38346190944182,0.4612462006079027,0.8192861427714457,11844,0.5922,True,1.5
1,"{'max_planes_in_rule': 4, 'max_planes_per_pair': 5, 'min_support': 15, 'min_rel_gain_f1': 0.02, 'min_lift_prec': 1.05, 'consider_dims_up_to': 3, 'rng_seed': 1}",1,3,rg_2d_c1_8880740fc8,"(4, 5)",0.5539124619152316,1.6465995355944278,0.5489762851671822,0.5589382123575285,6789,0.33945,True,3.0
1,"{'max_planes_in_rule': 4, 'max_planes_per_pair': 5, 'min_support': 15, 'min_rel_gain_f1': 0.02, 'min_lift_prec': 1.05, 'consider_dims_up_to': 3, 'rng_seed': 1}",1,4,rg_2d_c1_8880740fc8,"(4, 5)",0.5539124619152316,1.6465995355944278,0.5489762851671822,0.5589382123575285,6789,0.33945,True,3.0
1,"{'max_planes_in_rule': 4, 'max_planes_per_pair': 5, 'min_support': 15, 'min_rel_gain_f1': 0.02, 'min_lift_prec': 1.05, 'consider_dims_up_to': 3, 'rng_seed': 1}",1,5,rg_2d_c1_8880740fc8,"(4, 5)",0.5539124619152316,1.6465995355944278,0.5489762851671822,0.5589382123575285,6789,0.33945,True,3.0
