stage,callable,duration_s,start_s,end_s,params,n_samples,n_features,classes,class_distribution,n_estimators,depth,samples_used,features_used,records_generated,cp_enabled,segments_target,pairs_total,records_total,successful_records,planes_total,frontier_params,winning_planes,regions_total,run_index,best_f1,best_precision
dataset_generation,make_high_dim_classification_dataset,0.063622,14774.893611,14774.957233,"{""class_sep"": 2.1, ""n_features"": 25, ""n_informative"": 18, ""n_samples"": 30000, ""random_state"": 23}",30000.000000,25.000000,3.000000,"{""0"": 9992, ""1"": 10004, ""2"": 10004}",,,,,,,,,,,,,,,,,
model_fit,sklearn.ensemble.RandomForestClassifier.fit,9.294183,14774.960300,14784.254483,,,,,,30.000000,,30000.000000,25.000000,,,,,,,,,,,,,
deldel_fit,deldel.engine.DelDel.fit,1.556887,14784.254753,14785.811640,,,,,,,,,,750.000000,True,750.000000,,,,,,,,,,
pair_identification,deldel.experiments.run_corner_random_forest_pipeline/pairs,0.000725,14785.811995,14785.812720,,,,,,,,,,,,,4.000000,750.000000,399.000000,,,,,,,
frontier_computation,deldel.frontier_planes_all_modes.compute_frontier_planes_all_modes,3.048947,14785.812875,14788.861821,,,,,,,,,,,,,4.000000,,,11.000000,"{""mode"": ""C"", ""seed"": 23}",,,,,
selection_prune,deldel.globalmaj.prune_and_orient_planes_unified_globalmaj,0.211697,14788.862083,14789.073780,,,,,,,,,,,,,,,,,,4.000000,13.000000,,,
find_low_dim_spaces_run_0,deldel.find_low_dim_spaces_fast.find_low_dim_spaces,7.661237,14789.076104,14796.737341,"{""consider_dims_up_to"": 2, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 1, ""min_lift_prec"": 1.1, ""min_rel_gain_f1"": 0.02, ""min_support"": 350, ""rng_seed"": 23}",,,,,,,,,,,,,,,,,,100.000000,0.000000,"{""1"": 0.636277061773392, ""2"": 0.6836245360905858}","{""1"": 0.8719331825300156, ""2"": 0.9672131147540983}"
